Prompt;Response;Ground Truth
"Planet Terror (soundtrack)
The soundtrack to"" Planet Terror""( Robert Rodriguez's segment of"" Grindhouse"") was released on April 3, 2007 from Varèse Sarabande, though the score managed to sell on iTunes a week early. Rodriguez revealed at Comic- Con 2006 that inspiration for his score came from music composed by John Carpenter. Rodriguez said that during the filming of"" Planet Terror"", Carpenter's music was often played on set.

Steven Spielberg
Spielberg won the Academy Award for Best Director for Schindler's List (1993) and Saving Private Ryan (1998). Three of Spielberg's films—Jaws (1975), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993)—achieved box office records, originated and came to epitomize the blockbuster film. The unadjusted gross of all Spielberg-directed films exceeds $9 billion worldwide, making him the highest-grossing director in history. His personal net worth is estimated to be more than $3 billion. He has been associated with composer John Williams since 1974, who composed music for all save five of Spielberg's feature films.

Alex Wurman
Alex Wurman( born October 5, 1966) is an American composer who hails from Chicago. He is best known for his film scores to March of the Penguins,,, and the TV series Patriot.

Where was the composer of film Terror In The Aisles born?";Chicago.;California
"David Roland
David Roland is a film producer and director.

Bilbo Baggins
In Peter Jackson's The Hobbit film series, a prequel to The Lord of the Rings, the young Bilbo is portrayed by Martin Freeman while Ian Holm reprises his role as an older Bilbo in An Unexpected Journey (2012) and The Battle of the Five Armies (2014).

The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Tilda Swinton as Jadis, the White Witch, who holds Narnia under an eternal winter without Christmas or Spring or Summer.

Which film whose director is younger, Roland The Mighty or Graves Without A Name?";"""Roland The Mighty""";Graves Without A Name
"Oh My God
Oh My God, O My God, Oh My God! or Ohmigod may refer to:

Oh Boy
Oh Boy or Ooh Boy or"" variant"", may refer to:

Oh No! Oh My!
Oh No! Oh My!' is the debut album of indie rock band Oh No Oh My, released on July 11, 2006.

What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?";No information available.;laryngeal cancer
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

List of Dragon Ball Super episodes
107 31 ``Revenge`` F ''The Cunning Trap?!'' ``Fukushū no Efu! Shikakerareta Kōkatsu na Wana!? ''(復讐の「 F 」! しかけられた狡猾な罠!?) September 17, 2017 TBA

Hong Kong Film Critics Society
The Hong Kong Film Critics Society (HKFCS; Traditional Chinese: 香港電影評論學會), founded in 1995, is the peak organization of film critics and professionals in Hong Kong. It is also a member of FIPRESCI.

Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?";When You're Strange.;Vzdušné Torpédo 48
"Beatrice of Navarre, Duchess of Burgundy
Beatrice of Navarre (1242? – 1295), was Duchess of Burgundy, by marriage to Hugh IV, Duke of Burgundy. She was a daughter of Theobald I of Navarre and his third wife Margaret of Bourbon. Her siblings included Theobald II of Navarre and Henry I of Navarre. She is also known as Beatrix of Champagne.

Joan I, Countess of Burgundy
Joan I( 1191 – 1205), also called Joanna of Hohenstaufen, was ruling Countess of Burgundy 1200- 1205, daughter of Otto I, Count of Burgundy, and Margaret, Countess of Blois. Born in 1191, Joan was countess from the time of her father's assassination at Besançon in 1200 until her own death in 1205, whereupon her sister, Beatrice II, succeeded her.

Beatrice of Burgundy, Lady of Bourbon
Beatrice of Burgundy (1257 – October 1, 1310) was a ruling Lady of Bourbon in 1288-1310 and, through her mother, heiress of all Bourbon estates. She was the daughter of John of Burgundy (son of Hugh IV, Duke of Burgundy) and Agnes of Dampierre. In 1272 Beatrice married Robert, Count of Clermont and their eldest son Louis I, ""le Boiteux"" became the first Duke of Bourbon. It is through her that her distant male descendants of the French House of Bourbon get their name.

What nationality is Beatrice I, Countess Of Burgundy's husband?";French;Germany
"Taxi nach Kairo
Taxi nach Kairo is a 1987 film written and directed by Frank Ripploh and the sequel to Taxi zum Klo. The film is about a love triangle between Frank, Klara, an actress posing as Frank's wife in order to appease his mother, and their neighbor, Eugen. The title translates to Taxi to Cairo.

Apa Kata Hati?
Apa Kata Hati is a Malaysian comedy and romantic film released on 29 May 2008. This film is directed by Saw Teong Hin.

Samita Bangargi
Samita Bangargi is an Indian actress, known for Ramji Londonwaley, Shaadi Ka Laddoo and Yeh Kya Ho Raha Hai ?.

Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?";Taxi Zum Klo.;Saajan Bina Suhagan
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

East Meets West (2011 film)
East Meets West( 東成西就 2011) is a 2011 Hong Kong comedy film directed by Jeffrey Lau.

List of Chinese film directors
"" The following is a list of notable film directors from Mainland China.""

Which film has the director born first, Şaban, Son Of Şaban or East/West?";Şaban, Son Of Şaban.;Şaban, Son Of Şaban
"Sackville Lane-Fox
Sackville Walter Lane- Fox( 24 March 1797 – 18 August 1874), was a British Conservative Party politician.

Francis Lane Fox
Lieutenant- Colonel Francis Gordon Ward Lane Fox( formerly Jackson),( 14 October 1899 – 31 July 1989) was a British Army officer and prominent Yorkshire landowner.

George Fox-Lane, 1st Baron Bingley
George Fox- Lane, 1st Baron Bingley( circa 1697 – 22 February 1773) was a British peer and Tory politician. Born George Fox, he was the first son and heir of Henry Fox and his second wife, Hon. Frances"" née"" Lane, the daughter of George Lane, 1st Viscount Lanesborough and his third wife Lady Frances Sackville. From 1734 to 1741, he was Member of Parliament for Hindon and then for the City of York from 1742 to 1761. In 1750, he took the additional name of Lane by an Act of Parliament in 1750, on succeeding to the estates of his maternal half- uncle, James Lane, 2nd Viscount Lanesborough. On 12 July 1731, he had married Hon. Harriet Benson( c.1705-1771), the only child of Robert Benson, 1st Baron Bingley; their only child was Robert Fox- Lane( died 1768). He was Lord Mayor of York for 1757. On 13 May 1762, Lane- Fox's father- in- law's extinct title was re-created, when he was created Baron Bingley, of Bingley in the County of York, with remainder only to his heirs male with his wife, Harriet. As his only son died in 1768 and his wife in 1771, the title became extinct on his own death in 1773.

Where did George Lane-Fox (Mp)'s father study?";Eton;Christ's College, Cambridge
"Stella (2008 film)
Stella is an autobiographical 2008 French film directed by Sylvie Verheyde.

Stella í orlofi
Stella í orlofi  is a 1986 Icelandic comedy film directed by Þórhildur Þorleifsdóttir. It has enjoyed enduring popularity in Iceland, and was followed up with the sequel Stella í framboði in 2002.

Joaquín Oristrell
Joaquín Oristrell (born 1953, in Barcelona) is a Spanish film director and screenwriter. He has written scripts to Manuel Gutiérrez Aragón, Fernando Colomo and others directors before his film debut in 1997 with (¿De qué se ríen las mujeres? United States: DVD title, What Makes Women Laugh?)

Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?";Stella's War.;Don Juan In A Girls' School
"Nicolaes Tulp
Nicolaes Tulp (9 October 1593 – 12 September 1674) was a Dutch surgeon and mayor of Amsterdam. Tulp was well known for his upstanding moral character and as the subject of Rembrandt's famous painting ""The Anatomy Lesson of Dr Nicolaes Tulp"".

Publius Vitellius the Elder
__NoToC__ Publius Vitellius, grandfather of the emperor Vitellius, was a Roman eques who lived during the time of Augustus. He was a procurator in the time of Augustus.

Daughter of Julius Constantius
An unnamed daughter of Julius Constantius was the first known wife of Constantius II.

Where was the place of death of Christiane Vulpius's husband?";Weimar;Weimar
"Different from Whom?
Different from Whom? is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor( Filippo Nigro) and for three Nastri d'argento, for best comedy film, best script and best producer.

Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

Alexandria Again and Forever
Alexandria Again and Forever( translit. Iskandria Kaman wa Kaman) is the final entry in a trilogy of films by director Youssef Chahine. This 104- minute- long film is mainly in Arabic, with English- language subtitles. It was preceded by the films"" Alexandra ... Why?""( 1978) and"" An Egyptian Story""( 1982). The film was selected as the Egyptian entry for the Best Foreign Language Film at the 63rd Academy Awards, but was not accepted as a nominee. Following a violent outburst with Amr, his favorite actor, the director Yehia Eskandarany( Youssef Chahine) is forced to scrutinize his entire career under scrutiny. Nothing looks familiar any longer. His country and African cinema he loves so much, also looks strange. Little by little, while remembering his first film with Amr, Yehia traces the infiltration of the influential petro-dollar into the Egyptian cinema industry. But was it really money that caused the rift between him and Amr? Or was it the strikingly beautiful Nadia?

Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?";"The director died earlier in ""Dialogues of Exiles.""";Rhythm And Weep
"My Wife Is a Gangster 3
My Wife is a Gangster 3 is a 2006 Korean film. It is a sequel to"" My Wife is a Gangster 2"". This movie, however bearing the"" My Wife is a Gangster"" title, has little to no relation to the previous movies.

Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Kovi
Kovi is the professional name used by a Hungarian film director.

Which film came out first, My Wife'S Lodger or Ko 2?";My Wife's Lodger.;My Wife'S Lodger
"Prodromos Meravidis
Prodromos Meravidis( born in 1910 and died 10 August 1981) was a pioneer of Greek cinema.

Yannis Smaragdis
Yannis Smaragdis is a Greek film director.

Greece
The 1950s and early 1960s are considered by many to be a golden age of Greek cinema. Directors and actors of this era were recognized as important historical figures in Greece and some gained international acclaim: Irene Papas, Melina Mercouri, Mihalis Kakogiannis, Alekos Sakellarios, Nikos Tsiforos, Iakovos Kambanelis, Katina Paxinou, Nikos Koundouros, Ellie Lambeti, and others. More than sixty films per year were made, with the majority having film noir elements. Notable films were Η κάλπικη λίρα (1955 directed by Giorgos Tzavellas), Πικρό Ψωμί (1951, directed by Grigoris Grigoriou), O Drakos (1956 directed by Nikos Koundouros), Stella (1955 directed by Cacoyannis and written by Kampanellis).

Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?";"""Elvira's Haunted Hills"" (2001) director born later.";Elvira'S Haunted Hills
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Catherine of Russia
Catherine of Russia can refer to:

Bolshaya Pyora
Did you mean:

Who is the uncle of Catherine Allégret?";Yes.;Marc Allégret
"Jerome, 2nd Count de Salis
Jérôme de Salis, 2nd Count de Salis- Soglio( 8 July 17098 August 1794) was a Fellow of the Royal Society and sometime British Resident in the Grisons. He was also known as"" Hieronimus, Gerolamo, Geronimo, Harry, Jerome the grandfather"" and"" Monsieur le Comte de Salis"".

Henry Jerome de Salis
Henry Jerome de Salis, DD, FRS, FSA,( 20 August 1740 – 2 May 1810) was an English churchman. He was Rector of St. Antholin in the City of London and Vicar of Wing in Buckinghamshire. He was also known as:"" Revd Henry Jerome de Salis, MA""; the Hon.& Rev. Henry Jerome De Salis, Count of the Holy Roman Empire;"" Dr. de SalisRev. Dr. Henry Jerome de Salis"", and, from 1809,"" Rev. Count Henry Jerome de Salis"".

Leopold William Jerome Fane De Salis
Leopold William Jerome Fane De Salis (12 June 1845 – 3 August 1930) was an Australian politician. He was the son of Leopold Fane De Salis and Charlotte Macdonald; his brother George De Salis would also enter politics. He was elected to the New South Wales Legislative Assembly for Queanbeyan in 1872, but did not re-contest in 1874. He managed the family estates in Queensland until 1892, when they were lost in the economic crash. In 1895 he married Jeanette Armstrong. De Salis moved to England in 1910 and died in 1930 at Laleham.

Who is the paternal grandfather of George De Salis?";Jérôme de Salis;Jerome, 4th Count de Salis-Soglio
"Catherine of Cleves (1417–1479)
Catherine of Cleves (25 May 1417 – 10 February 1479) was Duchess of Guelders by marriage to Arnold, Duke of Guelders. She acted as regent of Guelders during the absence of her spouse in 1450. The Hours of Catherine of Cleves was commissioned for her.

First War of the Guelderian Succession
The First War of the Guelderian Succession was a battle for the throne of the Duchy of Guelders that raged between 1371 and 1379.

Gerard, Regent of Guelders
Gerard was regent for Henry I, Count of Guelders for the last twenty- one years of the latter's reign.

What is the date of death of Catherine Of Guelders's father?";December 25, 1433;23 February 1473
"Robby Stewart
Robby Ray Stewart is a fictional character from the Disney Channel series ""Hannah Montana"", portrayed by Billy Ray Cyrus. Robby is the single father of Jackson Stewart (Jason Earles) and Miley Stewart (Miley Cyrus). He appears in all episodes in seasons 1 and 2, is absent for 3 episodes in season 3, and is absent for 1 episode in season 4.

Hannah Montana
Hannah Montana, also known as Hannah Montana Forever in its fourth and final season, is an American musical comedy television series created by Michael Poryes, Rich Correll, and Barry O'Brien. It focuses on Miley Stewart (portrayed by Miley Cyrus), who is a teenager living a double life as an average schoolgirl by day and as the famous recording artist Hannah Montana by night, which she keeps secret and only a few people know of her alter ego. The story follows the daily life of Stewart, her brother Jackson, her best friends Lily and Oliver, and her father Robby (Cyrus's real-life country singer father, Billy Ray Cyrus).

The Climb (song)
``The Climb ''Single by Miley Cyrus from the album Hannah Montana: The Movie and The Time of Our Lives (International Edition) Released February 21, 2009 Recorded 2008 Genre Country pop Length 3: 56 Label Hollywood Songwriter (s) Jessi Alexander Jon Mabe Producer (s) John Shanks Miley Cyrus singles chronology`` 7 Things'' (2008) ``The Climb ''(2009)`` Fly on the Wall'' (2009) ``7 Things ''(2008)''`` The Climb ''(2009) ``Fly on the Wall'' (2009) Music video`` The Climb ''on YouTube

Who is the father of the composer of song I Miss You (Miley Cyrus Song)?";Billy Ray Cyrus;Billy Ray Cyrus
"Secret Weapon
Secret Weapon or Secret Weapons may refer to:

Secret Wars (disambiguation)
Secret Wars or Secret War may refer to:

Secret Life
Secret Life, The Secret Life or The Secret Life of ... may refer to:

What is the place of birth of the director of film Operation Secret?";Milwaukee, Wisconsin;New York
"Elizabeth G. Volkonskaia
Elizabeth Volkonskaia( 1838–1897) was a Russian noble and courtier. She played a leading role within the Catholic movement in Russia and has been referred to as the first woman in Russia to conduct serious historical theological studies. Her children were Sergei Mikhailovitch Volkonsky, Peter Volkonsky, Alexandr Volkonsky and Vladimir Volkonsky.

Andrei Volkonsky
Prince Andrei Mikhaylovich Volkonsky (also ""Andrey, André, Mikhailovich, Michailovich, Volkonski, Volkonskiy"") (14 February 1933 – 16 September 2008) was a Russian composer of classical music and harpsichordist. He was a key figure in Early Music Revival in Russia.

Peeter Volkonski
Prince Peeter Volkonski (born 12 September 1954 in Tallinn) is an Estonian rock-musician, composer, actor, and theatre director. He became famous with the punk band Propeller, founded in 1978. In 2015 Volkonski was Free Party's candidate in the Tartu constituency for Estonian parliamentary election. He received 916 votes, which was not enough for a seat in the parliament. Peeter Volkonski is a son of harpsichordist and composer Prince Andrei Volkonsky, and a great-great-great-grandson of Prince Pyotr Mikhailovich Volkonsky, being thus a descendant of a princely Rurikid family.

Who was born first out of Alexey Volkonsky and Wanderley Oliveira?";Alexey Volkonsky;Wanderley Oliveira
"Bianca e Falliero
""Bianca e Falliero"" is a tale of emotional excess and bitter strife within war-threatened Venice. Falliero, the hero, comes home after defeating the enemies of Venice only to find his beloved Bianca promised to a rival and soon to be married.

10 Things I Hate About You
Gabrielle Union as Chastity Church, Bianca's best friend, who betrays Bianca by going out with Joey when Bianca spurns him.

Sweet Body of Bianca
Sweet Body of Bianca is a 1984 Italian comedy- mystery film directed by Nanni Moretti.

Where did Bianca Riario's father die?";Bianca Riario's father died in Forlì.;Forlì
"The Awakening (2006 film)
The Awakening is a 2006 Bollywood documentary film produced by Ajay Devgn and Kumar Mangat Pathak and directed by Faruk Kabir.

King of Bollywood
King of Bollywood is a 2004 Bollywood comedy film directed by Piyush Jha, starring Om Puri. The film is a satire of the Hindi film industry.

Suneel Darshan
Suneel Darshan is an Indian filmmaker, film director, producer and writer who works in the Bollywood industry.

Where was the director of film Bollywood Calling born?";London, England.;Hyderabad
"Australian Railway Historical Society Museum
The Australian Railway Historical Society Museum is located on Champion Road, Newport, Victoria, near the North Williamstown station. It is operated by the Victorian Division of the Australian Railway Historical Society.

Bowning railway station
Bowning railway station is a heritage- listed closed railway station located on the Main Southern railway in Bowning, Yass Valley Shire, New South Wales, Australia. The property is owned by RailCorp, an agency of the Government of New South Wales. The railway station was added to the New South Wales State Heritage Register on 2 April 1999.

List of extreme points of Australia
Norfolk Island (167 ° 57 'E) Excluding islands: Australian Antarctic Territory (160 ° 00' E) Excluding islands and Australian Antarctic Territory: Cape Byron, New South Wales (153 ° 38 'E)

Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?";Yes.;yes
"Godfather Mendoza
In 1994, the Mexican magazine ""Somos"" published a list of ""The 100 best movies of the cinema of Mexico"" in its 100th edition and choose ""El compadre Mendoza"" the 3rd better of all time, just behind ""Vámonos con Pancho Villa"" and ""Los olvidados"".

Radio Stories
Radio Stories( Spanish: Historias de la radio) is a 1955 Spanish comedy film composed by three episodes directed by José Luis Sáenz de Heredia. A decade later the director returned to the theme with his"" Television Stories"" which updated the plot, but was less successful.

Madrugada (film)
Madrugada is a 1957 Argentine film. The film was made in Spain with director Antonio Roman and starring Argentine actress, Zully Moreno.

Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?";Solos En La Madrugada;Idols Of The Radio
"Something Else (Robin Thicke album)
Something Else is the third studio album by American R&B singer Robin Thicke, released on September 30, 2008. It is a follow up to Thicke's highly successful second album"" The Evolution of Robin Thicke"" and features a guest appearance by Lil Wayne.

Morning Sun (Robin Thicke song)
""Morning Sun"" is a song by American recording artist Robin Thicke. It was made available for digital download and released as a standalone single on June 30, 2015, by Interscope Records.

List of How I Met Your Mother characters
Played by Tracey Ullman, Robin's mother appears in three episodes of season 9 from ``Vesuvius ''to`` The End of the Aisle''.

Who is the mother of the performer of song Feel Good (Robin Thicke Song)?";Gloria Loring;Gloria Loring
"Joseph Alliluyev
The son of Stalin's daughter Svetlana Alliluyeva, Iosif was seven years old when Stalin, his mother's father and his famous grandfather, died in March 1953. Although he kept a low profile, he did take part in a television interview on Russian Channel One. He spoke about his relationship with his mother and how she fled to the United States.

Tamara Drasin
Tamara Drasin( c. 1905 – 22 February 1943), often credited as simply Tamara, was a singer and actress who introduced the song"" Smoke Gets in Your Eyes"" in the 1933 Broadway musical"" Roberta"". Tamara Drasin is sometimes confused with two other performers of the 1930s musical era, the dancers Tamara Geva and Tamara Toumanova.

Kato Svanidze
Ekaterine ""Kato"" Svanidze ('; , '; 2 April 1885 – 5 December 1907) was the first wife of Joseph Stalin and the mother of his eldest son, Yakov. Born in Racha, in western Georgia, Svanidze eventually moved to Tiflis with her two sisters and brother, and worked as a seamstress. Her brother Alexander was a confidant of Stalin, then still known by his birth name of Ioseb Jughashvili, and introduced him to Svanidze in 1905. They were married in 1906 and she gave birth to Yakov a few months later. The family moved to Baku to avoid arrest, though Svanidze got quite ill there and returned to Tiflis in 1907, dying shortly after her return, likely from typhus or tuberculosis. Her death had a profound effect on Stalin, who deeply cared for Svanidze. He abandoned Yakov to be raised by the Svanidze family, and rarely saw them again, fully immersing himself in his revolutionary activities.

Where did Tamara Imeretinsky's father graduate from?";Yale;Lancing College
"Johann Ludwig von L’Estocq
Johann Ludwig von L’Estocq was the brother of Jean Armand de Lestocq. His nephew Alexander Chappuzeau( Shapiza), son of Jacob Chappuzeau, and a great- grandson of Samuel Chappuzeau was the Count's aide de camp.

Aldebert de Chambrun (1821-1899)
"" For the French general, see Aldebert de Chambrun( 1872- 1962)."" Joseph- Dominique- Aldebert de Pineton, comte de Chambrun or Aldebert de Chambrun( 1821- 1899) was a French politician and businessman.

Antoine-Martin Chaumont de La Galaizière
Antoine- Martin Chaumont de La Galaizière( 22 January 1697, Namur- 3 October 1783, Paris), marquis de La Galaizière, chancellor of Lorraine, was a French nobleman active at the court of Lorraine. He was one of the lovers of Marie Françoise Catherine de Beauvau- Craon.

Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?";Louis-René De Caradeuc De La Chalotais.;Louis-René De Caradeuc De La Chalotais
"John Adam (architect)
John Adam( 5 March 1721 – 25 June 1792) was a Scottish architect.

Questions!/Answers?
What is the importance of history in designers and architects life?

Robert Adam
Robert Adam (3 July 1728 – 3 March 1792) was a Scottish neoclassical architect, interior designer and furniture designer. He was the son of William Adam (1689–1748), Scotland's foremost architect of the time, and trained under him. With his older brother John, Robert took on the family business, which included lucrative work for the Board of Ordnance, after William's death. In 1754, he left for Rome, spending nearly five years on the continent studying architecture under Charles-Louis Clérisseau and Giovanni Battista Piranesi. On his return to Britain he established a practice in London, where he was joined by his younger brother James. Here he developed the ""Adam Style"", and his theory of ""movement"" in architecture, based on his studies of antiquity and became one of the most successful and fashionable architects in the country. Adam held the post of Architect of the King's Works from 1761 to 1769. Robert Adam was a leader of the first phase of the classical revival in England and Scotland from around 1760 until his death. He influenced the development of Western architecture, both in Europe and in North America. Adam designed interiors and fittings as well as houses. He served as the member of Parliament for Kinross-shire from 1768 to 1774.

Where was the place of death of James Adam (Architect)'s father?";Edinburgh, Scotland.;Edinburgh
"English Renaissance
The English theatre scene, which performed both for the court and nobility in private performances, and a very wide public in the theatres, was the most crowded in Europe, with a host of other playwrights as well as the giant figures of Christopher Marlowe, Shakespeare and Ben Jonson. Elizabeth herself was a product of Renaissance humanism trained by Roger Ascham, and wrote occasional poems such as On Monsieur's Departure at critical moments of her life. Philosophers and intellectuals included Thomas More and Francis Bacon. All the 16th century Tudor monarchs were highly educated, as was much of the nobility, and Italian literature had a considerable following, providing the sources for many of Shakespeare's plays. English thought advanced towards modern science with the Baconian Method, a forerunner of the Scientific Method. The language of the Book of Common Prayer, first published in 1549, and at the end of the period the Authorised Version (``King James Version ''to Americans) of the Bible (1611) had enduring impacts on the English consciousness.

First university in the United States
William & Mary calls itself ``America's second - oldest college '', acknowledging Harvard's claim but adding that William & Mary itself is the nation's oldest college in its`` antecedents,'' the College of Henricopolis or University of Henrico established by the Virginia Company near Richmond, Virginia. This institution received a royal charter in 1618 and operated a school for several years before being destroyed with the town during the Indian Massacre of 1622, but it never offered college - level instruction. The following year, King James I dissolved the Virginia Company, converting the Colony of Virginia to a crown colony. William and Mary was founded under a new charter in 1693.

Elizabeth Tudor (1492–1495)
Elizabeth Tudor( 2 July 1492 – 14 September 1495) was the second daughter and fourth child of Henry VII of England and Elizabeth of York.

Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?";"Where did Henry Tudor's Wife graduate from:
University of Cambridge.";St John's College
"IIFA Award for Best Actress
IIFA Award for Best Actress Awarded for Best Performance by an Actress in a Leading Role Country India Presented by International Indian Film Academy First awarded Aishwarya Rai, Hum Dil De Chuke Sanam (2000) Currently held by Alia Bhatt, Udta Punjab (2017) Website IIFA Awards

IIFA Award for Best Actress
IIFA Award for Best Actress Awarded for Best Performance by an Actress in a Leading Role Country India Presented by International Indian Film Academy First awarded Aishwarya Rai, Hum Dil De Chuke Sanam (2000) Currently held by Sridevi, Mom (2018) Website IIFA Awards

Samita Bangargi
Samita Bangargi is an Indian actress, known for Ramji Londonwaley, Shaadi Ka Laddoo and Yeh Kya Ho Raha Hai ?.

Which film was released more recently, Aami or Bitch Slap?";"""Aami""";Aami
"Kitiyakara Voralaksana
Kitiyakara Voralaksana, Prince of Chanthaburi I (8 June 1874 – 27 May 1931) was a Prince of Siam, a member of the Siamese Royal Family (later Thailand). He originated the House of Kitiyakara . His descendants use this royal surname. He is the paternal grandfather of Queen Sirikit, consort of King Bhumibol Adulyadej (Rama IX of Thailand).

Galabawa
Galabawa is a village in Sri Lanka. It is located within Central Province.Its situated in west border of central province near the border of north western province .Its history makes back to BC where the King Walagamba once reside here before became the king of sri lanka

Bua Kitiyakara
Mom Luang"" Bua Kitiyakara( 25 November 1909 – 19 September 1999), née Mom Luang"" Bua Snidvongs, stage- named Prathum Chitchuea, was a Thai actress and the wife of Nakkhatra Mangala, Prince of Chanthaburi II and was the mother of Queen Sirikit.

Who is Busba Kitiyakara's paternal grandfather?";Kitiyakara Voralaksana.;Kitiyakara Voralaksana
"Sushil Datta
Sushil Datta also known as Sushil Datta Sharma( born February 4, 1959) is an Indian filmmaker, writer and film& media teacher based in Mumbai. During his career journey he has extensively worked in both film and television mediums. He has also been associated with some of the country's top media companies like UTV, Balaji Telefilms, Nimbus Television& Sports and Sudhir Mishra Productions. He is most noted for the feature film, Hazaaron Khwaishein Aisi( 2003), where he served as an Executive Producer. In Television, India's first countdown show “ Superhit Muqabla ” was also directed by him.

Shadab Rayeen
Shadab Rayeen is an Indian sound engineer. His best known work is the mix of Ae Dil Hai Mushkil. He has been honoured with the"" Best Recording Engineer Award"" in the category of Technical Awards for the mix of Ae Dil Hai Mushkil by International Indian Film Academy Awards.

Mushkil
Mushkil (Urdu: , ""lit."" difficult) is an Urdu film which was released on 1995 across theaters in Pakistan. The film dealt with the issue of child-camel-jockeys illegally trafficked from the third world into the numerous Arab countries. The super-hit film music was composed by Amjad Bobby. Hit tracks included ""Dil Ho Gaya Hai Tera Deewana"" and ""Mushkil Hai Bara Mushkil Hai"".

Who is the father of the director of film Ae Dil Hai Mushkil?";Sushil Datta;Yash Johar
"Who Do You Love (Marianas Trench song)
"" Who Do You Love""( stylized as"" Who Do You Love?"") is a song recorded by Canadian pop rock group Marianas Trench for their fourth studio album,"" Astoria""( 2015). The song was written and produced by lead singer Josh Ramsay. "" Who Do You Love"" was released through 604 Records on September 8, 2016 as the record's third and final official single.

𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Arthur Ramsay, 14th Earl of Dalhousie
Arthur George Maule Ramsay, 14th Earl of Dalhousie JP (4 September 1878 – 23 December 1928), styled Lord Ramsay between 1880 and 1887, was a Scottish peer and soldier.

Who was born first out of Ramsay Anderson and Fernand Fédronic?";Ramsay Anderson.;Ramsay Anderson
"Paura in città
Paura in città( internationally titled"" Fear in the CityStreet War"" and"" Hot Stuff"") is a 1976 Italian"" poliziottesco"" film directed by Giuseppe Rosati.

Different from Whom?
Different from Whom? is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor( Filippo Nigro) and for three Nastri d'argento, for best comedy film, best script and best producer.

Quo Vado?
Quo vado? is a 2016 Italian comedy film directed by Gennaro Nunziante. It was released on January 1, 2016. The film is the highest- grossing Italian film in Italy.

Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?";Yes.;yes
"The Dawn of a Tomorrow
The Dawn of a Tomorrow may refer to:

Dawn of the Dead
Dawn of the Dead may refer to:

Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Dawn Of Life?";Unknown;San Juan, Puerto Rico
"René Jeanne
René Jeanne was a French actor, writer, and cinema historian. He was born in 1887 and died in 1969. Jeanne was married to actress Suzanne Bianchetti.

Jeanne Herry
Jeanne Herry( born 19 April 1978) is a French filmmaker and actress.

Berthe Raharijaona
Berthe Raharijaona( 1908- 2003) was a lawyer in Madagascar.

Where was the husband of Jeanne Raunay born?";France;Évreux
