Prompt;Response;Ground Truth
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film has the director died first, Le Guignolo or Knights Of The Range?";"Samurai II: Duel at Ichijoji Temple, Samurai III: Duel at Ganryu Island
Knights Of The Range";Knights Of The Range
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who died later, Narcís Ventalló or H. Verlan Andersen?";Narcís Ventalló died later.;Narcís Ventalló
"Hold Back the Night (disambiguation)
Hold Back the Night is a 1956 film about the Korean War. Hold Back the Night may also refer to:

Which film was released first, The Beginning Or The End or Hold Back The Night?";Hold Back the Night;The Beginning Or The End
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who is younger, Aneta Hladíková or René Poupardin?";Aneta Hladíková;Aneta Hladíková
"Prince Nikolaos of Greece and Denmark
Prince Nikolaos of Greece and Denmark( born 1 October 1969) is the third child of Constantine II and Anne- Marie of Denmark, who were the last King and Queen of Greece, reigning from 1964 to 1973.

Where was the place of death of Prince Christopher Of Greece And Denmark's father?";Portugal.;Thessaloniki
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Guilty Of Treason?";Australia.;New York
"Charles Stuart, Duke of Cambridge (1660–1661)
Charles Stuart( 22 October 16605 May 1661) was the first of four sons and eight children born from the marriage between the Duke of York( later James II of England& VII of Scotland) and his first wife, Anne Hyde. He was styled"" Duke of Cambridge"", but never formally created so, because he died so young.

Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?";From St. Andrews.;University of Paris
"Because of You (Gabrielle song)
""Because of You"" is a song by English singer Gabrielle. It was written by Gabrielle and George McFarlane and produced by the latter for her debut studio album ""Find Your Way"" (1993). Released as the album's fourth single, ""Because of You"" was slightly more successful than previous single ""I Wish"", peaking at number 24 on the UK Singles Chart.

What is the place of birth of the performer of song I Wish (Gabrielle Song)?";London, England;Hackney
"Kang Jin-a
Kang Jin-a (born August 18, 1981) is a South Korean film director and screenwriter.

When was the director of film Jinpa born?";Kang Jin-a;1969
"New York Indian Film Festival
The New York Indian Film Festival (NYIFF) is an annual film festival that takes place in New York City, and screens films relating to India, the Indian Diaspora, and the work of Indian filmmakers. The festival began in November 2001 and was founded by Aroon Shivdasani and the Indo-American Arts Council. About 40 films are screened, including features films, shorts, documentaries, and animated films.

Which film whose director is younger, Kalippava or A Couch In New York?";Kalippava;A Couch In New York
"Joaquín Oristrell
Joaquín Oristrell (born 1953, in Barcelona) is a Spanish film director and screenwriter. He has written scripts to Manuel Gutiérrez Aragón, Fernando Colomo and others directors before his film debut in 1997 with (¿De qué se ríen las mujeres? United States: DVD title, What Makes Women Laugh?)

Which film has the director who died earlier, The Love Charm or The Constant Woman?";The Constant Woman.;The Constant Woman
"Under the Hawthorn Tree
Under the Hawthorn Tree may refer to:

Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?";Under The Hawthorn Tree came out earlier.;Dis-Moi Qui Tuer
"Tamatoa V
Tamatoa V, born Tamatoa-a-tu Pōmare, (23 September 1842, Moorea – 30 September 1881, Pape'ete), King of Raiatea and Taha'a, was a son of Queen Pōmare IV of Tahiti.

Where was the place of death of Tamatoa Vi's father?";Pape'ete;Huahine
"The Fatal Glass of Beer
The Fatal Glass of Beer can refer to the following:

Where did the director of film Old Man Drinking A Glass Of Beer die?";W.C. Fields;Brighton
"John St John, 12th Baron St John of Bletso
John St John of Northwood, 12th Baron St John of Bletso( 15 November 1725 – 20 April 1767) was a British peer. St John was the eldest son of John St John, 11th Baron St John of Bletso and his wife Elizabeth Crowley, daughter of Sir Ambrose Crowley of Greenwich. He was educated at Winchester College and at New College, Oxford. He inherited the title of Baron St John of Bletso on the death of his father in 1757. St John died at the age of 41 at Nice but was buried at Bletsoe. St John married Susanne Louise Simond, the daughter of Peter Simond, a wealthy French Huguenot merchant in London. She brought £ 20,000 to the marriage. Their eldest son, John Peter died aged just three and St John was succeeded in the barony successively by his second son Henry and his third son St Andrew. His widow died at Bath, Somerset in 1805 at the age of 80.

What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?";20 April 1767;10 May 1912
"Richard Joseph Paul
Richard Joseph Paul is a film and television actor. Sometimes he is credited as Richard J. Paul, Richard Joe Paul, Richie Paul, or Rich Paul.

Who is younger, Justin Paul or Helly Shah?";Helly Shah.;Helly Shah
"Stefano De Luigi
Stefano De Luigi( born 1964) is an Italian photographer. Luigi has been a member of VII Photo Agency since 2008 and lives in Paris.

Who was born first out of Marco De Luigi and Fabio Maistro?";Fabio Maistro.;Marco De Luigi
"Young Guns II
It follows the life of Billy the Kid (played by Emilio Estevez), in the years following the Lincoln County War in which Billy was part of ``The Regulators ''-- a group of around six highly skilled gunmen avenging the death of John Tunstall -- and the years leading up to Billy's documented death. The film, however, is told by Brushy Bill Roberts, a man who in the 1940s appeared claiming to be the real Billy the Kid.

Which film has the director who died earlier, Guns And Guitars or To The Victor?";Guns And Guitars;Guns And Guitars
"The Falcon's Adventure
The Falcon's Adventure is a 1946 film which was the 13th of sixteen films about The Falcon and the final film of RKO's Falcon series starring Tom Conway. It was directed by William Berke, who had served as producer for the previous entry in the series, 1946's ""The Falcon's Alibi"".

Which film has the director who died later, His Last Haul or The Falcon In San Francisco?";The Falcon In San Francisco;The Falcon In San Francisco
"Robert de Vere, 19th Earl of Oxford
Robert de Vere, 19th Earl of Oxford (b. after 23 August 1575 – 7 August 1632) was a British soldier, and the penultimate Earl of Oxford.

Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?";John de Vere, 16th Earl of Oxford.;John de Vere, 15th Earl of Oxford
"Otto Carl Friedrich Westphal
Otto Carl Friedrich Westphal( 1800 – 1879) was a German physician and Geheimer Sanitätsrath( privy medical counsellor). He wrote on the human eye and on optics. He was interested in environmental impacts on eyesight, including light quality, and argued that eyeglasses should be tailored to occupation. Westphal also examined a variety of eyewashes and tinctures, and reportedly invented eye occlusion therapy, currently used for correction of strabismus and amblyopia. Westphal was married to Karoline Friederike Heine, the daughter of a wealthy banker. He is the father of Carl Friedrich Otto Westphal and grandfather of Alexander Carl Otto Westphal.

Where was the place of death of Alexander Carl Otto Westphal's father?";Berlin;Kreuzlingen
"Bulldog Drummond Strikes Back
Bulldog Drummond Strikes Back may refer to:

Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?";Jayam Manade.;Bulldog Drummond'S Revenge
"Monster Problems
Monster Problems is an upcoming post-apocalyptic comedy film about a young man fighting monsters on his way to meet the girl he loves.

Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?";The Gamecock (Film);Monster A Go-Go
"Paolo II Vitelli
Paolo II Vitelli was an Italian condottiero and cavalryman. A member of the Vitelli family, he was born in Città di Castello and died in Parma. He was the son of Angela de' Rossi and her second husband Alessandro Vitelli.

Where was the place of death of Alessandro Vitelli's father?";Città di Castello;Florence
"Two Thousand Acres of Sky
The show takes place on the fictional island of Ronansay off the coast of Skye. The actual filming location was the sea - side village of Port Logan.

Where was the performer of song Bag Skyerne born?";Norway;Århus
"Beauty and the Beast (2017 film)
Luke Evans as Gaston, a narcissistic and arrogant hunter and veteran of the French Royal Army who is willing to go as far as it takes to have Belle as his trophy wife.

Are both directors of films 16 To Life and Saved By The Belles from the same country?";Yes.;yes
"Descendants of Henry II of France and Catherine de' Medici
Henry II of France and Catherine de' Medici were married on October 28, 1533, and their marriage produced ten children. Henry and Catherine became the ancestors of monarchs of several countries.

Where was the mother of Francis Ii Of France born?";Florence, Italy.;Florence
"Hendrick de Clerck
Hendrick de Clerck (c. 1560 – 27 August 1630) was a Flemish painter active in Brussels during the late sixteenth and early seventeenth centuries. Stylistically he belongs to the late Mannerist generation of artists preceding Peter Paul Rubens and the Flemish Baroque, and his paintings are very similar to his contemporary Marten de Vos. His exact date of birth is unknown, but in 1594 he is employed as court painter to Archduke Ernest, a position he continued to hold in the service of the Archdukes Albert and Isabella following Ernest's death in 1596.

Who was born later, Marc De Clerck or Wiesław Perszke?";Marc De Clerck;Wiesław Perszke
"Jesse James' Kid
Jesse James' Kid (also known as ""Son of Jesse James"") is a 1965 Spanish-Italian Spaghetti Western film directed by Antonio del Amo.

Which film has the director born later, Jesse James' Women or Ride Lonesome?";Ride Lonesome.;Ride Lonesome
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What nationality is the director of film Madeleine (1950 Film)?";Swiss.;British
"Thor: The Dark World
Rene Russo as Frigga: The wife of Odin, queen of Asgard, mother of Thor and adoptive mother of Loki, based on the mythological deity of the same name. Russo said that her role was expanded and explores Frigga's relationship with Loki, ``You know, they cut me (down) in the first film. Kenneth Branagh sent me a nice note, because he understood, he's an actor. You move on, what are you going to do? But I think they're going to need a good mom in the next film. Loki needs his mom. I have a lot of compassion for (Loki). But we might have to have a conversation about what he just did ''.

Which film has the director died first, Edge Of Doom or A Mother'S Secret?";Edge Of Doom;A Mother'S Secret
"Who's Laughing Now
Who's Laughing Now was the first full- length album released by L.A.P.D. in 1991. Songs from the album, along with the tracks from the band's first release,"" Love and Peace, Dude"", appeared on the 1997 compilation"" L.A.P.D"".

Which song was released earlier, 1990-Sick (Get 'Em All) or Who'S Laughing Now (Song)?";1990-Sick (Get 'Em All) was released earlier.;1990-Sick (Get 'Em All)
"Questions!/Answers?
What is the importance of history in designers and architects life?

Where did the director of film Desolation Angels (1995 Film) graduate from?";History informs design. Director studied at Columbia.;State University of New York at Purchase
"Francis Annesley, 1st Earl Annesley
Francis Annesley, 1st Earl Annesley( 27 November 1740 – 19 December 1802) was an Anglo- Irish politician and peer. He was the son of William Annesley, 1st Viscount Glerawly and Lady Anne Beresford, the daughter of Marcus Beresford, 1st Earl of Tyrone. He held the office of Member of Parliament for Downpatrick between 1761 and 1770. On 12 September 1770 he succeeded his father as Viscount Glerawly and assumed his seat in the Irish House of Lords. On 17 August 1789, Annesley was created Earl Annesley, of Castlewellan in the County of Down, in the Peerage of Ireland. The earldom was created with special remainder to his brother, Richard, as Annesley had no legitimate children.

When did Richard Annesley, 2Nd Earl Annesley's father die?";19 December 1802;2 September 1770
"Summertime Blues (1984 film)
Director Yaky Yosha's Summertime Blues (1984) is a youth drama about the last summer before the army, the last summer altogether. Although somewhat similar in content to the Lemon Popsicle (Eskimo Limon) series, with a soundtrack full of rock and roll hits and a group of teens pursuing sex, it is a different film than the eighth Lemon Popsicle film four years later, which unfortunately was given the same sub-title Lemon Popsicle VIII - Summertime Blues.

Which film has the director died earlier, Lemonade Joe or Bountiful Summer?";"The director of ""Lemonade Joe"" died earlier.";Bountiful Summer
"Conan III, Duke of Brittany
Conan III, also known as Conan of Cornouaille and Conan the Fat (c. 1093–1096 – September 17, 1148) was duke of Brittany, from 1112 to his death. He was the son of Duke Alan IV and Ermengarde of Anjou. Conan III allied himself with Stephen of England in Stephen's war against the dispossessed Empress Matilda.

What is the date of death of Conan Ii, Duke Of Brittany's mother?";1083;1080
"De Nieuwe Avonturen van Dik Trom
There were several Dik Trom movies, the most recent is the 2010 movie Dik Trom.

When was the director of film Reykjavík-Rotterdam born?";Oskar Jonasson was born in 1963.;30 June 1963
"Beli ap Eiludd
Beli ap Eiludd was a 7th-century King of Powys. Some theories assert that he was in fact the son of Manwgan ap Selyf who regained power after Eiludd Powys was killed at the battle of Battle of Maes Cogwy in 642. It is more likely however that as the genealogies state he was the son of Eiludd who was either the son or brother of Selyf, the former being the most likely due to a surviving reference from Cynddelw painting the Mathrafal dynasty as being descendants of Selyf. It was also likely if Eiludd Powys fought at Maes Cogwy alongside Elfan Powys and Cynddylan, Beli would have been the King whom Heledd ran to for protection.

What is the place of birth of Eiludd Powys's father?";Mathrafal;Wales
"Light at the End of the Tunnel (disambiguation)
Light at the End of the Tunnel may refer to:

Where was the director of film At The End Of The Tunnel born?";Argentina.;Rosario
"Christian Otto of Limburg
Christian Otto von Limburg Stirum, count of Limburg Bronkhorst and Stirum( 1694 – 1749), was a member of the House of Limburg- Stirum and the third reigning monarch from the branch of Limburg- Styrum- Styrum.

When was Ferdinand Iii Of Limburg Stirum's father born?";1643;1701
"Ulviyya Hamzayeva
Ulviyya Hamzayeva( born 1982) is a painter from Azerbaijan.

Which country the director of film Ulzhan is from?";Kazakhstan;German
"Franz I, Prince of Liechtenstein
Franz I, Prince of Liechtenstein, born"" Franz de Paula Maria Karl August""( 28 August 1853 – 25 July 1938), was the Prince of Liechtenstein between 1929 and 1938.

Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?";Alois II, Prince of Liechtenstein.;Franz Joseph I
"Khalil Al-Rifa'i
Khalil Al- Rifa'i,( July 7, 1927 in Baghdad – October 9, 2006 in Erbil) was an Iraqi actor. He appeared in the television programs Tahit Moos Al- Hallaq( 1961- 1969) and Abu Balawi( 1980),

What is the place of birth of Samir Rifai's father?";Baghdad;Amman
"Archduchess María of Austria (b. 1967)
Archduchess María of Austria( née Princess María of Bourbon- Two Sicilies; born 5 April 1967) is a princess of Bourbon- Two Sicilies and the wife of Archduke Simeon of Austria.

Who is the paternal grandmother of Archduchess Dolores Of Austria?";Princess María Margarita of Bourbon-Two Sicilies.;Princess Maria Immaculata of Bourbon-Two Sicilies
"War is Over. Please Forget...
War is Over. Please Forget ... is a 1997 Russian drama with elements of documentary that unfolds against the backdrop of the First Chechen War.

Which film has the director died first, Two For Tonight or Light Over Russia?";Light Over Russia.;Two For Tonight
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Peter'S Friends?";London;Belfast
"Where Has Love Gone? (album)
Where Has Love Gone? is a studio album by Sofia Rotaru, recorded at Melodiya in the USSR. The album consists of soundtracks to the film"" Where Has Love Gone?"".

Where was the composer of film Love Story 1999 born?";Sofia Rotaru;Tamil
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?";Gómez Suárez de Figueroa, Duke of Feria.;Íñigo Vélez de Guevara, 7th Count of Oñate
"Sulemani Keeda
Sulemani Keeda is an independent slacker comedy film directed by Amit V Masurkar and produced by Tulsea Pictures in association with Mantra/ Runaway Entertainment. It was first screened at the Mumbai Film Festival in 2013. The film is distributed by PVR Director's Rare and was released in Mumbai, NCR- Delhi, Bangalore, Pune, Ahmedabad and Kolkata on 5 December 2014. TVF is the online partner for the movie.

Which film whose director is younger, Jeedar or The Rebel Set?";The Rebel Set.;Jeedar
"Rosario Flores
Rosario del Carmen González Flores better known as Rosario Flores (born 4 November 1963) is a two-time Latin Grammy Award-winning Spanish singer and actress. She was born in Madrid, Spain, as the daughter of Antonio González ('El Pescaílla') and famous singer Lola Flores. She is the sister of singer Lolita Flores and singer-songwriter Antonio Flores. She has a daughter with her ex-boyfriend Carlos Orellana. Her second son, Pedro Antonio, was born on 21 January 2006, the same day as his grandmother Lola Flores. Rosario and Pedro Lazaga, her partner and father of her second son, met while filming Pedro Almodóvar's film ""Hable con ella"" in 2001.

Where was the mother of Antonio Flores born?";Jerez de la Frontera  ;Jerez de la Frontera
"Bad Ass Bitch
The titles"" Bad Ass BitchBadass Bitch"", and"" Bad- ass Bitch"" can refer to the following media:

What is the place of birth of the performer of song Down Ass Bitch?";Houston, Texas.;Queens
"Empress Sun
Empress Sun (1399–1462) was a Chinese Empress consort of the Ming Dynasty, married to the Xuande Emperor.

What is the place of birth of Empress Xu (Ming Dynasty)'s husband?";Nanjing;Nanjing
"Samita Bangargi
Samita Bangargi is an Indian actress, known for Ramji Londonwaley, Shaadi Ka Laddoo and Yeh Kya Ho Raha Hai ?.

Which film came out earlier, Niyoti or Angali Pangali?";Angali Pangali;Niyoti
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which country Aleksandra Marianna Wiesiołowska's father is from?";Poland.;Polish–Lithuanian Commonwealth
"Who Killed Kovali?
Who Killed Kovali? is a 1960 Australian television play. It had previously been filmed for British TV in 1957.

Which country Tivala's father is from?";Tivala's father is from Greece.;Maurya dynasty
"Queen Jiang
Queen Jiang, or Qi Jiang, was the consort of King Xuan of Zhou and the mother of King You of Zhou. She was a daughter of the duke of Qi, and as such a member of the Jiang clan which traditionally provided brides to marry the princes of the Zhou dynasty.

Who is the paternal grandmother of King Kang Of Zhou?";Queen Jiang;Yi Jiang
"The Castle of Fu Manchu
The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.

Which film has the director who died first, The Face Of Fu Manchu or The Hidden One?";The Face of Fu Manchu.;The Hidden One
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Double Or Nothing (1940 Film)?";Vienna;New Brunswick, New Jersey
"Bilbo Baggins
In Peter Jackson's The Hobbit film series, a prequel to The Lord of the Rings, the young Bilbo is portrayed by Martin Freeman while Ian Holm reprises his role as an older Bilbo in An Unexpected Journey (2012) and The Battle of the Five Armies (2014).

Which film whose director was born first, The Great Flamarion or The Hollars?";The Great Flamarion;The Great Flamarion
"Danny Pang Phat
Danny Pang Phat (born 1965) is one of the Pang brothers. The twin brothers Oxide and Danny Pang started their career in Hong Kong, where Oxide worked as colourist and Danny as editor. After moving to Bangkok, Oxide made the experimental film Who's Running. "" Bangkok Dangerous"" is the first film in which the brothers combine their talents.

Do both directors of films Dangerous To Know and Les Côtelettes have the same nationality?";Yes.;yes
"Sterna, Evros
Sterna is a settlement in the Evros regional unit of Greece. It is located around 9 kilometers west of Nea Vyssa and northwest of Orestiada, on low hills between the rivers Evros and Arda.

Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?";Yes;yes
"Kab? Kyoon? Aur Kahan?
Kab? Kyoon? Aur Kahan? is a 1970 Bollywood mystery film directed by Arjun Hingorani. The film stars Dharmendra, Babita and Pran. It is inspired by the French classic film Les Diaboliques (film) (1955), including the bathtub scene.

Where was the place of death of the director of film Kathputli (1971 Film)?";Mumbai.;Bombay
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where did the director of film Ręce Do Góry study?";Wajda School.;National Film School in Łódź
"John Farrington (footballer)
John Robert Farrington( born 19 June 1947) is an English former professional footballer who played as a right winger.

Where was the place of death of Suzanne Farrington's mother?";Carmarthen.;London
"Who's the Man? (soundtrack)
The Who's the Man? Soundtrack is the official soundtrack to the 1993 film"" Who's the Man?"". The album was released in 1993 on Uptown/ MCA Records. The soundtrack peaked at thirty- two on the"" Billboard"" 200 chart in 1993.

What nationality is the director of film Name The Man?";Jamaican.;Swedish
"Bounce with Me (Kreesha Turner song)
"" Bounce with Me"" is a single released by Canadian singer Kreesha Turner, written and produced by Mike James and Troy Samson of Hipjoint Productions and released on December 4, 2007.

Do Kreesha Turner and Samantha Jo share the same nationality?";Yes.;yes
"Aurora Film Corporation
Aurora Film Corporation is a film production company based in Kolkata, India, and primarily involved in producing Bengali films. Aurora has produced and/ or distributed several landmark Bengali- language films.

What is the place of birth of the director of film Aurora (2018 Film)?";Kolkata, India.;Davao
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director born later, Befikre or American Sniper?";Befikre.;Befikre
"Louis Lucien Bonaparte
Louis Lucien Bonaparte (4 January 1813 – 3 November 1891) was the third son of Napoleon's second surviving brother, Lucien Bonaparte.

When is Prince Napoléon Bonaparte's father's birthday?";4 January 1813;15 November 1784
"Naples, Florida
With more than 80 championship golf courses in the Naples area, Naples is the self - titled ``Golf Capital of the World '', claiming to have more holes per capita than any other community.

Which film was released more recently, Toolbox Murders or I Met You In Naples?";I Met You In Naples.;Toolbox Murders
"How Long Has This Been Going On (disambiguation)
""How Long Has This Been Going On?"" is a 1927 song by George and Ira Gershwin. How Long Has This Been Going On may also refer to:

Where was the place of death of the composer of song How Long Has This Been Going On??";Beverly Hills, California.;Hollywood
"Bilbo Baggins
In Peter Jackson's The Hobbit film series, a prequel to The Lord of the Rings, the young Bilbo is portrayed by Martin Freeman while Ian Holm reprises his role as an older Bilbo in An Unexpected Journey (2012) and The Battle of the Five Armies (2014).

Which film has the director died earlier, Youngblood Hawke (Film) or Crook'S Tour?";Youngblood Hawke.;Crook'S Tour
"William S. Burroughs bibliography
This is a bibliography of the works of William S. Burroughs.

Where did William S. Burroughs Jr.'s father study?";Harvard.;Harvard
"Albus Dumbledore
Dumbledore is portrayed by Richard Harris in the film adaptations of Harry Potter and the Philosopher's Stone and Harry Potter and the Chamber of Secrets. After Harris' death, Michael Gambon portrayed Dumbledore for all of the remaining Harry Potter films. Jude Law will portray Dumbledore in the untitled sequel to Fantastic Beasts and Where to Find Them.

Which film has the director who was born earlier, Circus Beely or Tom, Dick And Harry 2?";Circus Beely;Circus Beely
"Victoria de Marichalar y Borbón
""Doña"" Victoria Federica de Todos los Santos de Marichalar y Borbón (born 9 September 2000) is the younger child and only daughter of the Spanish Infanta Elena, Duchess of Lugo, and ""Don"" Jaime de Marichalar. "" Doña"" Victoria Federica is fifth in the line of succession to the Spanish Throne, after her brother Felipe.

Who is the maternal grandmother of Felipe De Marichalar Y Borbón?";Queen Sofia of Spain;Queen Sofía of Spain
"Assassin's Creed (film)
Ariane Labed as Maria: An assassin in 15th century Spain and the closest ally of Aguilar. More measured than her partner - in - arms, Maria is light on her feet and exceedingly quick, and together they are an unstoppable force. Like Aguilar, she understands the damage the Templar influence is doing to her country.

Are the directors of both films The Fall Of A Saint and Fighting Through from the same country?";No.;no
"Henry Portman
Henry William Portman was an 18th-century housing developer, the ancestor of the Viscounts Portman.

Which country Natalie Portman's husband is from?";France;French
"Zihlathi Ndwandwe/Mkhatjwa
Zihlathi Ndwandwe( a.k.a. Zilathi Nxumalo)( died 1975) was Ndlovukati( Queen mother) of Swaziland during the reign of Sobhuza II. She was succeeded by her full sister and co-wife, Seneleni Ndwandwe.

Who is the father-in-law of Tsandzile Ndwandwe?";Sobhuza II.;Ndvungunye
"Sleeping Beauty (franchise)
Sleeping Beauty is a Disney media franchise that began in 1959 with the theatrical release of"" Sleeping Beauty"".

Which film has the director born earlier, Mister Scarface or Waking Sleeping Beauty?";Waking Sleeping Beauty.;Mister Scarface
"The Hunter
The Hunter may refer to:

What is the place of birth of the performer of song Hunter (Björk Song)?";Iceland;Reykjavík
"John Beauchamp, 1st Baron Beauchamp of Kidderminster
Sir John de Beauchamp, 1st Baron Beauchamp of Kidderminster( 1339- 1388) of Holt Castle in Worcestershire was an administrator and landowner.

Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?";Sir John de Beauchamp;Thomas de Beauchamp
"Jean Carol
Jean Carol( born April 13) is an American actress.

Who is the spouse of the director of film Carol'S Journey?";Jean-Pierre Dardenne;María Barranco
"Diary of a Madman
Diary of a Madman may refer to:

Which film has the director born later, Diary Of A Maniac or Return Of The Hero?";Return Of The Hero;Return Of The Hero
"Duke Louis Ernest of Brunswick-Lüneburg
Louis Ernest of Brunswick- Lüneburg- Bevern( 25 September 1718, Wolfenbüttel – 12 May 1788, Eisenach) was a field- marshal in the armies of the Holy Roman Empire and the Dutch Republic, the elected Duke of Courland( 1741). From 13 November 1750 to 1766 he was the Captain- General of the Netherlands, where he was known as the Duke of Brunswick or( to distinguish him from his eldest brother Charles, who succeeded to their father's title of Duke of Brunswick- Lüneburg) Duke of Brunswick- Wolfenbüttel. Another brother was Duke Ferdinand of Brunswick who led the Allied Anglo- German army during the Seven Years' War. He was probably one of the first victims of the media in Dutch history.

Where was the father of Augustus William, Duke Of Brunswick-Bevern born?";Brunswick-Wolfenbüttel.;Osterholz
"Cornelia (mother of the Gracchi)
Cornelia( c. 190s – c. 115 BC) was the second daughter of Publius Cornelius Scipio Africanus, the hero of the Second Punic War, and Aemilia Paulla. She is remembered as a prototypical example of a virtuous Roman woman. She was the mother of the Gracchi brothers, and the mother- in- law of Scipio Aemilianus.

Who is the mother-in-law of Lollia Paulina?";Cornelia.;Agrippina the Elder
"Gaza Strip (film)
Gaza Strip is a 2002 documentary film by James Longley which records events taking place in 2001 during the Second Intifada. The film focuses on 13-year-old Mohammed Hejazi, a second-grade dropout the filmmaker encountered at the Karni crossing in the Gaza Strip, where Palestinian children often gather to throw stones. The director has made this film available for free online streaming on the official site, below.

Which film was released more recently, Gaza Ghetto or Kull The Conqueror?";Gaza Ghetto;Kull The Conqueror
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who was born earlier, Raúl Osorio or James B. Harris?";James B. Harris;James B. Harris
"The Century Magazine
The Century Magazine was first published in the United States in 1881 by The Century Company of New York City, which had been bought in that year by Roswell Smith and renamed by him after the Century Association. It was the successor of"" Scribner's Monthly Magazine"" and ceased publication in 1930.

When was the company that published Woman'S Century founded?";1914;October 27, 1893
"Charles Willoughby, 2nd Baron Willoughby of Parham
Charles Willoughby, 2nd Baron Willoughby of Parham( c.1536/7 – d. 1610 – 12) was the only son of William Willoughby, 1st Baron Willoughby of Parham, and Elizabeth Heneage.

Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?";Elizabeth Heneage.;Lady Frances Manners
"Captain Underpants: The First Epic Movie
Mel Rodriguez as Mr. Morty Fyde, the science teacher who gets fired by Krupp and is replaced by Professor Poopypants.

Which film has the director who died earlier, Deuce High or The King Is The Best Mayor?";Deuce High.;The King Is The Best Mayor
