Prompt;Response;Ground Truth
Which film has the director who was born first, The Ballad Of Gregorio Cortez or Naiyya?;The Ballad Of Gregorio Cortez.;The Ballad Of Gregorio Cortez
Which film has the director who is older, The Boy Turns Man or A Strange Adventure?;A Strange Adventure.;A Strange Adventure
Who is Joan, Countess Of Chiny's paternal grandfather?;Frederick I, Duke of Upper Lorraine.;Louis III, Count of Chiny
Where was the father of Prince Charles Louis, Duke Of Chartres born?;Versailles, France.;Rabat
Where was the place of burial of Ælfgar, Earl Of Mercia's mother?;Evesham Abbey.;Coventry
Which country Dexter Young's mother is from?;South Korea.;China
Who is the spouse of the performer of song Ängeln I Rummet?;Isabella Löwengrip;Efva Attling
Where was the performer of song Égérie (Song) born?;Nigeria.;La Trinité
Who is Thomas Stafford, 3Rd Earl Of Stafford's father?;Ralph Stafford, 1st Earl of Stafford.;Hugh de Stafford, 2nd Earl of Stafford
What is the place of birth of the director of film Stopp! Tänk På Något Annat?;Sweden;Västerås
Who is the child of the director of film Lo Que Le Pasó A Reynoso?;León Rodríguez.;Leopoldo Torre Nilsson
Which film was released more recently, Circus Of Love or The Kiss Of Evil?;Circus Of Love.;The Kiss Of Evil
Which film has the director who is older than the other, One Down, Two To Go or Andrei Svislotskiy? ;Andrei Svislotskiy;One Down, Two To Go
Who is the maternal grandfather of Adam Coleman Howard?;Rex Howard.;Jules Lederer
Which film has the director born later, Under The Lantern or Darling Of The Gods?;Darling Of The Gods;Under The Lantern
Which film has the director who was born first, Slim Carter or Thendral Veesum?;Slim Carter.;Thendral Veesum
Which film has the director who died first, A Dream Or Two Ago or Why Leave Home??;A Dream Or Two Ago.;A Dream Or Two Ago
Where did the director of film Vestire Gli Ignudi die?;Rome, Italy.;Paris
Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?;John Jaffer Janardhanan.;Kamakalawa
Which film has the director died earlier, The Story Of Anastasia or A Mother Of Men?;"The director of ""A Mother Of Men"" died earlier.";A Mother Of Men
Which film was released more recently, Occupation: Dreamland or Ganga Bhavani?;"""Occupation: Dreamland""";Occupation: Dreamland
Who is Frederick Of Luxembourg's paternal grandfather?;Jean, Grand Duke of Luxembourg;Wigeric of Lotharingia
Who is the father of the director of film Mirage (1972 Film)?;Fritz Lang.;Daniel Alomía Robles
Where did Claudio Silva (Computer Scientist)'s wife graduate from?;Oxford University.;Stony Brook University
Which film has the director born first, Spione or Five Million Look For An Heir?;Spione.;Five Million Look For An Heir
Which film was released earlier, Man'S Search For Happiness or Tell It To The Bees?;Man's Search for Happiness.;Man'S Search For Happiness
Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?;La Mazurka Del Barone, Della Santa E Del Fico Fiorone.;La Mazurka Del Barone, Della Santa E Del Fico Fiorone
Who lived longer, Antonio Caggiano or Hardyal Singh?;Antonio Caggiano.;Antonio Caggiano
What is the place of birth of the director of film A Woman'S Face (1938 Film)?;Sweden.;Helsingfors
Where did the composer of film The Merry Monahans die?;Los Angeles, California.;Studio City
Which school was opened first, Chopasni Senior Secondary School, Jodhpur or Tunku Putra School?;Chopasni Senior Secondary School, Jodhpur.;Chopasni Senior Secondary School, Jodhpur
Who is Richard Burke, 4Th Earl Of Clanricarde's paternal grandfather?;Thomas Burke.;Richard Burke, 2nd Earl of Clanricarde
Which film has the director who was born earlier, Retalhos Da Vida De Um Médico or The Shooting?;Retalhos Da Vida De Um Médico.;Retalhos Da Vida De Um Médico
Are Blurt (Magazine) and Maui Nō Ka ʻOi Magazine from the same country?;No.;yes
Who is the paternal grandfather of John Ii Of Baden?;Philip I, Elector Palatine;Bernard I, Margrave of Baden-Baden
Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?;Ami Neta Hobo.;Hood Of The Living Dead
Which film has the director who was born earlier, Buffet Froid or Lost In Africa?;Buffet Froid.;Buffet Froid
Who is the spouse of the director of film My Three Merry Widows?;Robert Gist;Mapy Cortés
Where did Meritaten's father die?;Amarna;Akhetaten
Who is the paternal grandmother of Edward I Of England?;Eleanor of Provence.;Isabella of Angoulême
Who is the paternal grandfather of Guy Le Strange?;Henry St. George Forrest.;Henry Styleman
Who is Germaine Of Foix's paternal grandfather?;Ferdinand II of Aragon;Gaston IV of Foix
Which film has the director who died earlier, Gold For The Caesars or Heinz In The Moon?;Gold For The Caesars;Heinz In The Moon
Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?;A Yiddish World Remembered;A Yiddish World Remembered
What is the date of death of the director of film Escándalo De Estrellas?;December 12, 2008.;August 7, 2004
Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?;Trouble With Jolanthe.;Trouble With Jolanthe
Where was the composer of film Terror In The Aisles born?;London, England;California
Which film whose director is younger, Roland The Mighty or Graves Without A Name?;Graves Without A Name.;Graves Without A Name
What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?;Plane crash.;laryngeal cancer
Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?;When You're Strange.;Vzdušné Torpédo 48
What nationality is Beatrice I, Countess Of Burgundy's husband?;German;Germany
Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?;Taxi Zum Klo.;Saajan Bina Suhagan
Which film has the director born first, Şaban, Son Of Şaban or East/West?;Son Of Şaban.;Şaban, Son Of Şaban
Where did George Lane-Fox (Mp)'s father study?;Oxford University.;Christ's College, Cambridge
Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?;Stella'S Oorlog.;Don Juan In A Girls' School
Where was the place of death of Christiane Vulpius's husband?;Weimar.;Weimar
Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?;Dialogues Of Exiles.;Rhythm And Weep
Which film came out first, My Wife'S Lodger or Ko 2?;Ko 2.;My Wife'S Lodger
Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?;Allos Gia To Ekatommyrio.;Elvira'S Haunted Hills
Who is the uncle of Catherine Allégret?;Yves Montand.;Marc Allégret
Who is the paternal grandfather of George De Salis?;Count Peter De Salis.;Jerome, 4th Count de Salis-Soglio
What is the date of death of Catherine Of Guelders's father?;October 5, 1409.;23 February 1473
Who is the father of the composer of song I Miss You (Miley Cyrus Song)?;Billy Ray Cyrus.;Billy Ray Cyrus
What is the place of birth of the director of film Operation Secret?;San Francisco, California.;New York
Who was born first out of Alexey Volkonsky and Wanderley Oliveira?;Alexey Volkonsky.;Wanderley Oliveira
Where did Bianca Riario's father die?;Rome.;Forlì
Where was the director of film Bollywood Calling born?;Delhi, India.;Hyderabad
Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?;Yes.;yes
Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?;Idols Of The Radio.;Idols Of The Radio
Who is the mother of the performer of song Feel Good (Robin Thicke Song)?;Gloria Loring.;Gloria Loring
Where did Tamara Imeretinsky's father graduate from?;Columbia University.;Lancing College
Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?;Louis-René De Caradeuc De La Chalotais.;Louis-René De Caradeuc De La Chalotais
Where was the place of death of James Adam (Architect)'s father?;Kirkcaldy.;Edinburgh
Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?;University of St Andrews.;St John's College
Which film was released more recently, Aami or Bitch Slap?;Aami.;Aami
Who is Busba Kitiyakara's paternal grandfather?;King Chulalongkorn.;Kitiyakara Voralaksana
Who is the father of the director of film Ae Dil Hai Mushkil?;Yash Johar.;Yash Johar
Who was born first out of Ramsay Anderson and Fernand Fédronic?;Ramsay Anderson.;Ramsay Anderson
Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?;Yes.;yes
What is the place of birth of the director of film Dawn Of Life?;Los Angeles, California;San Juan, Puerto Rico
Where was the husband of Jeanne Raunay born?;Spain.;Évreux
Are the directors of films The Edifying And Joyous Story Of Colinot and Cold Moon both from the same country?;No.;yes
What is the place of birth of the performer of song Pluto (Song)?;New York City, New York, USA.;Reykjavík
What is the place of birth of Princess Margaretha Of Saxony's mother?;Austria.;Munich
Who is the spouse of the director of film West Of Shanghai?;No information available.;Maureen O'Sullivan
Do director of film Jerry And Tom and director of film Kansas City Princess share the same nationality?;Yes.;no
Which film was released earlier, Amelie Or The Time To Love or Beginners?;Amelie.;Amelie Or The Time To Love
What is the cause of death of composer of song Look At Me (Xxxtentacion Song)?;Shooting.;shot
Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?;Natürlich Die Nelli.;Natürlich Die Nelli
Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?;Irene Doukaina Laskarina.;Elizabeth the Cuman
Where was the performer of song Lucky Me, Lucky You born?;South Korea.;Abilene
What is the place of birth of the creator of Miss Seventeen?;Los Angeles.;Tehran
Who is the mother of the director of film Brenda Brave?;Mia Farrow.;Käbi Laretei
Where was the place of burial of Meritites I's husband?;Giza.;Great Pyramid of Giza
Who is Wisigard's father-in-law?;King Harald of Valla.;Theuderic I
Where was the place of death of Duchess Maria Dorothea Of Württemberg's father?;Stuttgart;Kirchheim unter Teck
Where was the director of film The Pride Of Jennico (Film) born?;Hendon, England.;Colorado
Where was the director of film Gently My Songs Entreat born?;India.;Viennese
What is the cause of death of Eleanor De Clare's husband?;Beheaded;hanged, drawn and quartered
What is the cause of death of performer of song Voi Voi?;Suicide.;illness
Which film has the director died first, Resan Till Dej or Rocking Moon?;"""Rocking Moon.""";Rocking Moon
Which film has the director born later, Christ Walking On The Water or 45 Fathers?;45 Fathers;45 Fathers
Are both directors of films Breslin And Hamill: Deadline Artists and Jean The Tenant from the same country?;No.;yes
Are Bal Vidyalaya (Kota) and Loreto House both located in the same country?;No.;yes
When did Engelbert, Count Of Nevers's mother die?;1097;21 June 1483
Which film has the director died later, Excursion Train or Bad Day At Black Rock?;Bad Day At Black Rock.;Bad Day At Black Rock
Which film has the director who died later, Emanuelle And The Last Cannibals or Hostile Country?;Emanuelle And The Last Cannibals.;Emanuelle And The Last Cannibals
Which film has the director died later, Just Like A Woman (1939 Film) or Madigan'S Millions?;Just Like A Woman (1939 Film).;Madigan'S Millions
Why did the performer of song Ludlow Massacre (Song) die?;Cancer.;Huntington's disease
Which film has the director who died later, Cooee And The Echo or Sweepings?;Sweepings.;Sweepings
Which film has the director born earlier, The Newest Pledge or Más Allá De La Aventura?;Más Allá De La Aventura.;Más Allá De La Aventura
Where was the director of film Slingshot (Film) born?;Spain.;Suffield, Connecticut
Which film has the director who was born first, I Come With The Rain or A Question Of Attribution?;"""I Come With The Rain""";A Question Of Attribution
Are Coal City, Illinois and Lash Kenar, Nur both located in the same country?;No.;no
Who is the mother of Olaf (Ii) Haraldsen?;Ingrid of Sweden.;Ragnild Magnusdotter
What nationality is Florent Of Hainaut's mother?;German.;Germany
Where was the director of film The Love Captive born?;Sofia, Bulgaria.;Poznań
Are the directors of both films Der Blindgänger and Hotel Desire from the same country?;No.;yes
Who is the spouse of the director of film Noc Nevěsty?;Radka Fidlerova.;Alena Mihulová
Which film has the director who died later, The Death Kiss or Her Luck In London?;The Death Kiss;Her Luck In London
Which film whose director is younger, The Devil'S Pass Key or La Bella Di Lodi?;The Devil'S Pass Key.;La Bella Di Lodi
Where did the composer of film Henry V (1944 Film) die?;Los Angeles, California, USA.;Ischia
Which film has the director who is older, Johnny Concho or One Minute To Twelve?;Johnny Concho;One Minute To Twelve
Which album came out earlier, Was I The Wave? or Kingdom Of Rock?;Was I The Wave?;Was I The Wave?
Which film has the director born later, Cyclone Of The Saddle or Blind Corner?;Blind Corner;Blind Corner
Where did the director of film The Gallant Lords Of Bois-Doré die?;Paris.;Paris
Which film came out earlier, It'S Our Life! or Maximum Ride (Film)?;Maximum Ride;It'S Our Life!
Where did the director of film The Boy Who Cried Werewolf (1973 Film) die?;Los Angeles;Palos Verdes
Where was the director of film Los Motivos De Luz born?;Uruguay.;France
Where was the performer of song Fast Car (Namie Amuro Song) born?;Okinawa, Japan.;Naha, Okinawa
Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?;Queen Anne;Lady Anne Campbell
Where was the director of film En Aasai Rasave born?;Chennai, India.;Theni
Where was the director of film High (Film) born?;South Korea;Johannesburg, South Africa
Where was the place of death of Ginevra D'Este's husband?;Naples.;Rimini
What is the place of birth of the director of film Tři Chlapi V Chalupě?;Czech Republic;Prostějov
Who died first, Olaf Everson or Abdul Wahab Khan Tarzi?;Olaf Everson.;Abdul Wahab Khan Tarzi
Which film has the director who died later, Good Morning, Little Countess or Vogue La Galère?;Good Morning, Little Countess;Vogue La Galère
Who died later, Stephen De Staebler or Samuel Arthur Saunder?;Stephen De Staebler.;Stephen De Staebler
Where was the husband of Esperanza Osmeña born?;Cebu;Cebu
Where was the place of death of the director of film Scugnizzi?;Rome, Italy.;Rome
Which film has the director who was born later, The Daughter Of Rosie O'Grady or The Whistle (Film)?;The Whistle (Film);The Daughter Of Rosie O'Grady
Do both films Happiness Of Three Women and Percy (1925 Film) have the directors from the same country?;No.;yes
Which film has the director who was born earlier, Invasion 1897 or Nene Raju Nene Mantri?;Invasion 1897.;Nene Raju Nene Mantri
Who did Joan Ramon Ii, Count Of Cardona marry?;Joan Ramon II married Elisenda de Montcada.;Joana de Prades
Who is the paternal grandmother of Sudeley Hanbury-Tracy, 3Rd Baron Sudeley?;Nancy Mitford.;Henrietta Susanna Tracy
Which album was released more recently, The Arockalypse or Because The Internet?;Because The Internet.;Because The Internet
Are the movies On A Clear Day You Can See Forever (Film) and Education Of A Prince, from the same country?;No.;no
Which film whose director is younger, Torments Of The Night or Dirty Dancing?;Dirty Dancing.;Dirty Dancing
Where did the director of film Music In Darkness die?;Belgium;Fårö
Which country Aleksander Koniecpolski (1620–1659)'s father is from?;Poland.;Polish-Lithuanian Commonwealth
Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?;Arthur Acheson;Archibald Acheson, 2nd Earl of Gosford
Which film was released more recently, The First Seven Years or Cinesound Varieties?;The First Seven Years.;Cinesound Varieties
Where was the place of death of William De Warenne, 2Nd Earl Of Surrey's father?;a place called Cluny.;Lewes
What is the place of birth of the director of film I Love, You Love?;Italy;Bratislava
Do director of film Coteau Rouge and director of film Hochelaga, Land Of Souls share the same nationality?;Yes.;yes
Where did the director of film Don Juan (1922 Film) die?;Spain.;Westerland
Where was the performer of song I See You (Theme From Avatar) born?;Leona Lewis - London, England.;London
Who is the maternal grandmother of Archduchess Elisabeth Of Austria (1922–1993)?;Maria Theresa of Austria.;Infanta Maria Antonia of Portugal
Which film was released more recently, Royal Treasure or When Love Begins?;When Love Begins.;Royal Treasure
Who is Albert Iv, Prince Of Anhalt-Köthen's paternal grandfather?;Prince Leopold IV of Anhalt-Dessau.;Albert II, Prince of Anhalt-Zerbst
Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?;The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics.;The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics
Who is the father of the director of film Plunkett & Macleane?;Trudie Styler.;Ridley Scott
Who was born earlier, Ela Gandhi or Sebastián Borensztein?;Ela Gandhi.;Ela Gandhi
Which film has the director who was born earlier, Red Sparrow or The Flying Liftboy?;Red Sparrow;The Flying Liftboy
Which film was released first, The Cemetery Club or Uzhaikkum Karangal?;Uzhaikkum Karangal.;Uzhaikkum Karangal
Who is Wang Xijie's father-in-law?;Xi Jinping.;Longqing
What nationality is the director of film Rise Above: The Tribe 8 Documentary?;American.;United States
Who was born first out of Overill Dwyer-Brown and Dragan Načevski?;Overill Dwyer-Brown.;Overill Dwyer-Brown
Which country the director of film I See You (2006 Film) is from?;Greece.;India
Who is Colgú Mac Faílbe Flaind's uncle?;Saint Brigid.;Fíngen mac Áedo Duib
Which country Gilduin Of Le Puiset's father is from?;France;France
Which film has the director who is older than the other, The Enchanted Desna or Neal Of The Navy? ;The Enchanted Desna;Neal Of The Navy
Which film has the director born later, Feel My Pulse or Panique?;Panique.;Panique
Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?;Hanuman Patal Vijay.;Hanuman Patal Vijay
Which film was released first, Heaven Help Us or Ghar Ki Rani?;Heaven Help Us.;Ghar Ki Rani
Which film has the director who died first, The Boss And The Worker or Claire'S Knee?;The Boss And The Worker has the director who died first.;The Boss And The Worker
Who lived longer, Louis-Armand-Constantin De Rohan or Adalberto Pereira Dos Santos?;Louis-Armand-Constantin De Rohan.;Adalberto Pereira Dos Santos
Who is the mother-in-law of Gyrid Of Sweden?;Ingerid of Denmark.;Thyra
Who is the maternal grandfather of Prince Dmitri Alexandrovich Of Russia?;Tsar Alexander II of Russia.;Alexander III of Russia
Where was the place of burial of the director of film The Last Company?;Hollywood Forever Cemetery;Forest Lawn Memorial Park
Do both films Fig Leaves and Boogeyman (Film) have the directors that share the same nationality?;No.;no
Which film has the director who is older, Road To Singapore or Melodies Of Vera Quarter?;Road to Singapore.;Road To Singapore
Who is Prince Harald Of Schaumburg-Lippe's maternal grandfather?;Adolf II, Prince of Schaumburg-Lippe.;Prince Harald of Denmark
Where was the place of burial of Gjon Kastrioti Ii's father?;St. Nicholas Monastery.;Lezhë
Who is Albert G. Simms's father-in-law?;Benjamin Harrison.;Mark Hanna
Which film has the director who was born first, Piccoli Fuochi or The Nice Guys?;Piccoli Fuochi (Scorta armata, born in 1921).;Piccoli Fuochi
Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?;Playing It Wild.;I'Ll Be Going Now
Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country?;Yes.;yes
Which film has the director who was born later, Garde À Vue or Ivide Thudangunnu?;Ivide Thudangunnu;Garde À Vue
What nationality is Matilda Of Frisia's husband?;German;France
Who is Joan Of Valois, Duchess Of Alençon's maternal grandfather?;King Charles VI of France.;Charles VI of France
Where was the mother of Emilie Hegh Arntzen born?;Norway.;Oslo
Which film was released earlier, Extreme Ops or Puberun?;Extreme Ops.;Puberun
Which film has the director died earlier, Dynamite Smith or A Son Of Satan?;Dynamite Smith.;Dynamite Smith
Which country the director of film West 32Nd is from?;South Korea;American
Who is Iynefer Ii's mother-in-law?;Queen Nefertari.;Meresankh II
Which film has the director who was born first, En Kvinde Er Overflødig or Aakrosh (2010 Film)?;En Kvinde Er Overflødig.;En Kvinde Er Overflødig
Who is Isma'Il Ibn Ja'Far's paternal grandmother?;Fatimah bint al-Husayn;Farwah bint al-Qasim
Where was the director of film The 3 Rooms Of Melancholia born?;Finland;Helsinki
What is the place of birth of the director of film My Country'S Wings?;Switzerland.;Valparaíso
Where was the keyboardist of Xyz (English Band) born?;Rick Wakeman - Perivale, Middlesex, England.;Kingsbury, London
Where was the place of death of the director of film The Stone Rider?;Los Angeles;Königstein im Taunus
When did Prince Gustav Of Thurn And Taxis (1848–1914)'s father die?;1871;10 November 1871
Which film was released more recently, A Scream From Silence or Das Spielzeug Von Paris?;Das Spielzeug Von Paris.;A Scream From Silence
Where was the mother of Elizabeth Of Denmark, Electress Of Brandenburg born?;Poland.;Torgau
Where was the director of film Aylwin (Film) born?;Chile.;Weston-super-Mare, Somerset
What is the date of death of Siemowit V Of Masovia's mother?;1322.;20 April 1434
Which film has the director died later, Sailor'S Luck or Lutaru Lalna?;Sailor's Luck.;Lutaru Lalna
Where did the director of film Barracuda (1978 Film) study?;University of Southern California.;Florida Atlantic
Where was the husband of Lou Henry Hoover born?;Iowa;West Branch, Iowa
What nationality is Julia Parker (Astrologer)'s husband?;American;British
Who was born first, Emmanuel Goffi or Mariano Pasini?;Emmanuel Goffi.;Emmanuel Goffi
Which one was established first, Besix or Circus Herman Renz?;Circus Herman Renz.;Besix
Which film was released earlier, Nesmrtelná Teta or Illang: The Wolf Brigade?;Illang: The Wolf Brigade;Nesmrtelná Teta
Where was the place of burial of Neith (Wife Of Pepi Ii)'s husband?;Saqqara.;Saqqara
Who was born later, Bradley Tyler Johnson or Bernardo Freitas?;Bradley Tyler Johnson.;Bernardo Freitas
Do both films A Trial In Prague and Three Strangers have the directors that share the same nationality?;Yes.;yes
Are Bilthoven and Herveld both located in the same country?;Yes.;yes
Which country the composer of song Seconds (Song) is from?;Ireland;Irish
Where was the place of death of Princess Louise Auguste Of Denmark's mother?;Denmark.;Celle
Who is the spouse of the director of film På Solsiden?;Joachim Rafaelsen.;Otto Carlmar
Which film has the director died later, Marriage In Name Only or Mille Chilometri Al Minuto!?;Marriage In Name Only;Marriage In Name Only
Who is the paternal grandfather of Yi Hong?;Yi Zitai.;Prince Yi Kang
Who is the paternal grandfather of Sir Thomas Lawley, 3Rd Baronet?;Sir Robert Lawley.;Sir Thomas Lawley, 1st Baronet
Who is the paternal grandfather of George Lyon, 5Th Lord Glamis?;King James V of Scotland;John Lyon, 3rd Lord Glamis
Where did the director of film Até Que A Sorte Nos Separe 2 study?;Fundação Armando Alvares Penteado (FAAP).;University of California
Which film was released more recently, How To Make Love To A Negro Without Getting Tired or Frisco Kid?;Frisco Kid.;How To Make Love To A Negro Without Getting Tired
Who is the paternal grandmother of Jeanne Of Bar, Countess Of Marle And Soissons?;Joan of Bar;Marie I de Coucy, Countess of Soissons
Which film has the director who died later, September Affair or A Gathering Of Eagles?;"""A Gathering of Eagles""";A Gathering Of Eagles
Which film was released more recently, Bidasari or Tangled Trails?;Bidasari.;Bidasari
Which film has the director who is older, King Of The Zombies or Mon Oncle Benjamin?;Mon Oncle Benjamin.;King Of The Zombies
Where does Kitty Dukakis's husband work at?;Michael Dukakis works at Northeastern University.;UCLA
Which film came out first, Poznań '56 or The Last Day Of School Before Christmas?;Poznań '56.;The Last Day Of School Before Christmas
Which film has the director died later, Saturday Night Out or An Italian Romance?;"The director of ""An Italian Romance"" died later.";An Italian Romance
Which film has the director born earlier, To Walk With Lions or The Grizzlies?;To Walk With Lions.;To Walk With Lions
What nationality is Isabella Of England's mother?;French.;France
Which film has the director who is older, Villa!! or Sons Of Ingmar?;Villa!!;Sons Of Ingmar
Who lived longer, Huchtenburg or Benjamin Nottingham Webster?;Benjamin Nottingham Webster.;Huchtenburg
Where was the mother of Louise Sophie Of Hanau-Lichtenberg born?;Alsace (France);Strasbourg
Who was born later, Anna Margarete Stegmann or Mouloud Feraoun?;Mouloud Feraoun;Mouloud Feraoun
Who is the paternal grandmother of Prince Robert, Duke Of Chartres?;Princess Isabelle of Orléans.;Maria Amalia of Naples and Sicily
Who was born later, Ramón Corona or Ernest William Goodpasture?;Ernest William Goodpasture.;Ernest William Goodpasture
Where was the place of death of the director of film Quatre-Vingt-Treize (Film)?;Paris, France.;Paris
Are Flora Lake and Rostoul Lake located in the same country?;Yes.;no
Who is Princess Florestine Of Monaco's paternal grandmother?;Princess Charlotte of Monaco.;Louise d'Aumont
Which film was released more recently, Torrente 2: Misión En Marbella or The Heart Of New York (Film)?;Torrente 2: Misión En Marbella.;Torrente 2: Misión En Marbella
Which film has the director born earlier, Main Tera Hero or Betrayed Women?;Main Tera Hero;Betrayed Women
Which album was released first, The Oak Ridge Boys Have Arrived or Beans And Fatback?;The Oak Ridge Boys Have Arrived.;Beans And Fatback
Which film whose director is younger, Slums Of Berlin or Phantom India?;Slums Of Berlin.;Phantom India
Which film whose director was born first, Weird Woman or Secret Strings?;Weird Woman.;Secret Strings
Who is the mother of the director of film Atomised (Film)?;Hannelore Hoger.;Gisela Elsner
When did Guglielma Pallavicini's mother die?;1819;1323
Which film has the director died earlier, Black Belly Of The Tarantula or Devil On Deck?;Black Belly Of The Tarantula.;Devil On Deck
What is the date of birth of Mohammed Bin Nawwaf Bin Abdulaziz's father?;1932.;16 August 1932
What is the place of birth of the director of film Encino Man?;Hollywood.;Albuquerque, New Mexico
Which film has the director born later, Song Of The Open Road or Campaign Of Hate: Russia And Gay Propaganda?;Campaign Of Hate: Russia And Gay Propaganda.;Campaign Of Hate: Russia And Gay Propaganda
Which film has the director who died later, The Olsen Gang In Jutland or Pathala Bhairavi?;Pathala Bhairavi;The Olsen Gang In Jutland
Who is Marcus Aemilius Lepidus (Executed 39)'s father-in-law?;Julius Caesar;Germanicus
Which film came out earlier, The Champion Of Pontresina or The Bulleteers?;The Bulleteers.;The Champion Of Pontresina
Where was the place of burial of Kunigunde Of Poland's father?;Krakow.;Wawel Cathedral
Who is Charles Xiii Of Sweden's paternal grandfather?;Adolf Frederick;Christian August of Holstein-Gottorp, Prince of Eutin
Which country the performer of song I Might Have Been Queen is from?;United States;Swiss
Who is the maternal grandfather of Conan Ii, Duke Of Brittany?;Alan IV, Duke of Brittany.;Odo II, Count of Blois
Where was the wife of Pierre-Marie Gault De Saint-Germain born?;France.;Warsaw
Who is Henri Ii, Duke Of Nemours's paternal grandfather?;Philip II of Savoy.;Jacques
Which film whose director was born first, Gangster'S Boy or Torno A Vivere Da Solo?;Gangster's Boy.;Gangster'S Boy
Which film was released more recently, Il Marchio Di Kriminal or Nandhi?;"""Nandhi""";Nandhi
Where did Sultan Walad's father die?;Konya;Konya
Where was the director of film Mister Scarface born?;New York City, USA.;San Ferdinando di Puglia
Where was the place of death of Salin Mibaya's husband?;Kenya;Pyay
Are Paris Sewer Museum and Musée National Des Douanes located in the same country?;Yes.;yes
Which film has the director died first, Let'S Live Again or Kummatty?;Kummatty;Let'S Live Again
Which film has the director who was born earlier, Thalapathi or Pour La Peau D'Un Flic?;Thalapathi.;Pour La Peau D'Un Flic
Who is Tekle Haymanot Ii's paternal grandfather?;Emperor Tewodros II;Iyasu I
Where was the place of burial of the director of film Broadway Bad?;Santa Monica, California;Westwood Village Memorial Park Cemetery
What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?;May 2, 1152.;25 July 1182
Are Xavier Catholic College, Llandilo and Toowoomba Anglican School located in the same country?;No.;yes
What is the place of birth of the performer of song Are You Really Mine??;New York City, USA.;Camas
What nationality is Cecilia Renata Of Austria's husband?;Polish;Polish–Lithuanian Commonwealth
Which film has the director born first, 84 Charing Cross Road (Film) or Emperor'S Ball?;84 Charing Cross Road.;Emperor'S Ball
Do director of film Just Married (1934 Film) and director of film The Thirteenth Commandment share the same nationality?;No.;yes
Who is the paternal grandfather of Eochaid Ailtlethan?;Cormac mac Airt;Connla Cáem
Are Les Misérables (1917 Film) and The Better 'Ole (1926 Film) both from the same country?;No.;yes
What is the date of birth of Francis Otto, Duke Of Brunswick-Lüneburg's father?;June 10, 1439.;27 June 1497
Where was the director of film The Naked Angel born?;Italy.;Santiago del Estero
Which film was released first, Assault On Dome 4 or The Battle Of The Rails?;The Battle of the Rails.;The Battle Of The Rails
Where was the place of burial of Pareherwenemef's mother?;Giza.;QV66
Who is the maternal grandfather of Princess Helena Adelaide Of Schleswig-Holstein-Sonderburg-Glücksburg?;Queen Victoria;Frederick VIII, Duke of Schleswig-Holstein
Who was born later, Zhang Mengying or Wolfgang Herrndorf?;Zhang Mengying.;Zhang Mengying
Which country Jessie Harlan Lincoln's father is from?;United States.;American
Which film whose director is younger, Maine Pyaar Kyun Kiya? or Children Of The Streets?;Children Of The Streets.;Maine Pyaar Kyun Kiya?
Where was the father of George Howard, 4Th Earl Of Suffolk born?;Greece.;Saffron Walden
Which film has the director who was born later, Enjoy Yourselves or A Song To Remember?;Enjoy Yourselves.;A Song To Remember
Where was the mother of Elizabeth Stafford born?;Elizabeth Stafford's mother was born in Spain.;English
What is the place of birth of the performer of song If You Want To Be My Woman?;Los Angeles, California.;Bakersfield
Which film was released more recently, Hit Of The Show or The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies?;Hit Of The Show.;The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies
Who is the spouse of the performer of song Neurotic Society (Compulsory Mix)?;Kendu Isaacs.;Rohan Marley
Where was the director of film Veera Thalattu born?;Vedham Puthithu;Theni
