Prompt;Response;Ground Truth
"Maui Nō Ka ʻOi Magazine
Maui Nō Ka Oi Magazine is a bi-monthly regional magazine published by the Haynes Publishing Group in Wailuku, Hawaii. The phrase ""Maui nō ka oi"" means ""Maui is the best"" in the Hawaiian language. "" Maui Nō Ka Oi Magazine"" features stories relating to the culture, art, dining, environmental issues, current events, recreational activities, and local businesses within Maui County. The magazine is marketed at newsstands across the United States and by subscription, and is distributed as an in-room amenity in resorts. Since 2002 the magazine has sponsored the Aipono Awards, an annual award in which readers select their favorite restaurants in 25 categories. In 2003 they began celebrating the winners at an annual banquet. Proceeds from the banquet go to the Maui Community College's Culinary Academy. ""Maui Nō Ka Oi"" has a circulation of 25,000 and an estimated readership of 1.44 annually. The magazine has received several Pai awards, which are given out by the Hawaii Publishers Association.

Are Blurt (Magazine) and Maui Nō Ka ʻOi Magazine from the same country?";Yes.;yes
"Frederick III, Margrave of Baden
Frederick III of Baden( 1327 – 2 September 1353) was Margrave of Baden from 1348 to 1353.

Who is the paternal grandfather of John Ii Of Baden?";Frederick III, Margrave of Baden.;Bernard I, Margrave of Baden-Baden
"Hood of the Living Dead
Hood of the Living Dead is a 2005 direct- to- video zombie movie about a regenerative formula bringing the dead back to life.

Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?";Hood of the Living Dead.;Hood Of The Living Dead
"The Lost World: Jurassic Park
Pete Postlethwaite as Roland Tembo, a big - game hunter from Kenya and the leader of the second InGen team.

Which film has the director who was born earlier, Buffet Froid or Lost In Africa?";Buffet Froid.;Buffet Froid
"The Very Merry Widows
The Very Merry Widows is a 2003 Franco- Belgian film directed and co-written by Catherine Corsini.

Who is the spouse of the director of film My Three Merry Widows?";Catherine Corsini;Mapy Cortés
"Meritaten
Meritaten, also spelled Merytaten or Meryetaten (14th century BC), was an ancient Egyptian royal woman of the Eighteenth dynasty. Her name means ""She who is beloved of Aten""; Aten being the sun-deity whom her father, Pharaoh Akhenaten, worshipped. She held several titles, performing official roles for her father and becoming the Great Royal Wife to Pharaoh Smenkhkare, who may have been a brother or son of Akhenaten. Meritaten also may have served as pharaoh in her own right under the name, Ankhkheperure Neferneferuaten.

Where did Meritaten's father die?";Akhetaten;Akhetaten
"Family tree of English monarchs
This is the English monarchs' family tree for England( and Wales after 1282) from Alfred the Great to Elizabeth I of England. The House of Wessex family tree precedes this family tree and the British monarchs' family tree follows it. The Scottish monarchs' family tree covers the same period in Scotland and also precedes the British monarchs' family tree. For a simplified family tree see English and British monarchs family tree

Who is the paternal grandmother of Edward I Of England?";Eleanor of Provence.;Isabella of Angoulême
"King Arthur's family
King Arthur's family grew throughout the centuries with King Arthur's legend. Several of the legendary members of this mythical king's family became leading characters of mythical tales in their own right.

Who is the paternal grandfather of Guy Le Strange?";King Arthur;Henry Styleman
"Germaine of Foix
Germaine of Foix (1488 – 15 October 1536) was queen consort of Aragon as the second wife of Ferdinand II of Aragon, whom she married in 1506 after the death of his first wife, Isabella I of Castile in 1504. Germaine's father was John of Foix, Viscount of Narbonne and son of Queen Eleanor of Navarre. Her mother, Marie of Orléans, was the sister of King Louis XII of France.

Who is Germaine Of Foix's paternal grandfather?";Queen Eleanor of Navarre.;Gaston IV of Foix
"Steven Spielberg
Spielberg won the Academy Award for Best Director for Schindler's List (1993) and Saving Private Ryan (1998). Three of Spielberg's films—Jaws (1975), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993)—achieved box office records, originated and came to epitomize the blockbuster film. The unadjusted gross of all Spielberg-directed films exceeds $9 billion worldwide, making him the highest-grossing director in history. His personal net worth is estimated to be more than $3 billion. He has been associated with composer John Williams since 1974, who composed music for all save five of Spielberg's feature films.

Which film has the director who died earlier, Gold For The Caesars or Heinz In The Moon?";Gold For The Caesars;Heinz In The Moon
"Monsieur Taxi
Monsieur Taxi (""Mister Taxi"") is a 1952 French comedy film which was directed André Hunebelle, written by Jean Halain, and starring Michel Simon and Louis de Funès. It is about Pierre Verger, who is nicknamed Monsieur Taxi and always in company of a smart young dog called ""Gangster"".

Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?";A Yiddish World Remembered;A Yiddish World Remembered
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

What is the date of death of the director of film Escándalo De Estrellas?";No data available.;August 7, 2004
"Jorah Mormont
Introduced in 1996's A Game of Thrones, Jorah is the only son of Jeor Mormont, the honorable lord commander of the Nights Watch of the kingdom of Westeros. He subsequently appeared in Martin's A Clash of Kings (1998), A Storm of Swords (2000) and A Dance with Dragons (2011).

Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?";Trouble With Jolanthe.;Trouble With Jolanthe
"Terror in the Aisles
Terror in the Aisles is a 1984 American documentary film about horror films featuring clips from"" Friday the 13th"" I and II,"" The Texas Chain Saw Massacre Halloween"" I and II,"" Jaws"" 1 and 2,"" AlienJohn Carpenter's The Thing The Shining"" and Alfred Hitchcock's"" Psycho"" and"" The Birds"". The film is directed by Andrew J. Kuehn, and hosted by Donald Pleasence and Nancy Allen. The original music score is composed by John Beal.

Where was the composer of film Terror In The Aisles born?";The composer John Beal was born in Santa Monica, California.;California
"David Roland
David Roland is a film producer and director.

Which film whose director is younger, Roland The Mighty or Graves Without A Name?";"""Roland The Mighty""";Graves Without A Name
"Oh boy, oh boy, oh boy!
Oh boy, oh boy, oh boy! is a song written by Lasse Dahlquist, and released as a recorded song in 1946. The song has also been recorded by Alf Robertsson and Charlie Norman. The song, which depicts a British Navy visit to Gothenburg, has become a standard sing-along song in Sweden.

What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?";Lasse Dahlquist died in a car accident.;laryngeal cancer
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?";When You're Strange;Vzdušné Torpédo 48
"Beatrice I, Countess of Burgundy
Beatrice I (1143 – 15 November 1184) was Countess of Burgundy from 1148 until her death, and was also Holy Roman Empress by marriage to Frederick Barbarossa. She was crowned empress by Antipope Paschal III in Rome on 1 August 1167, and as Queen of Burgundy at Vienne in August 1178.

What nationality is Beatrice I, Countess Of Burgundy's husband?";German;Germany
"Taxi nach Kairo
Taxi nach Kairo is a 1987 film written and directed by Frank Ripploh and the sequel to Taxi zum Klo. The film is about a love triangle between Frank, Klara, an actress posing as Frank's wife in order to appease his mother, and their neighbor, Eugen. The title translates to Taxi to Cairo.

Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?";Taxi zum Klo.;Saajan Bina Suhagan
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which film has the director born first, Şaban, Son Of Şaban or East/West?";Son of Şaban;Şaban, Son Of Şaban
"George Lane-Fox (MP)
George Lane- Fox( 4 May 1793 – 15 November 1848), of Bramham Park, Yorkshire, was a British landowner and Tory politician. Lane- Fox was the son of James Fox- Lane, of Bramham Park, Yorkshire, by the Honourable Mary Lucy, daughter of George Pitt, 1st Baron Rivers. He was the brother of Sackville Lane- Fox and the uncle of Sackville Lane- Fox, 12th Baron Conyers, and Augustus Pitt Rivers. He inherited Bramham Park, near Wetherby but moved to Bowcliffe Hall after Bramham Hall was severely damaged by fire in 1828. Lane- Fox was returned to parliament for Beverley in 1820, a seat he held until 1826 and again between 1837 and 1840. His brother Sackville Lane- Fox succeeded him in 1840. Lane- Fox died in November 1848, aged 55. He had married Georgiana Henrietta, daughter of Edward Percy Buckley, of Minestead Lodge, Hampshire, in 1814. They had one son and two daughters. His only son George Lane- Fox( d. 1896), High Sheriff of Leitrim and of Yorkshire, was the grandfather of George Lane- Fox, 1st Baron Bingley.

Where did George Lane-Fox (Mp)'s father study?";Cambridge University.;Christ's College, Cambridge
"Stella's oorlog
Stella's oorlog( Dutch for Stella's war) is a 2009 Dutch drama film directed by Diederik van Rooijen.

Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?";Stella's Oorlog.;Don Juan In A Girls' School
"Christiane Vulpius
Johanna Christiana Sophie Vulpius (1 June 1765 – 6 June 1816) was the mistress and wife of Johann Wolfgang Goethe.

Where was the place of death of Christiane Vulpius's husband?";Weimar;Weimar
"Dialogues of Exiles
Dialogues of Exiles is a 1975 French- Chilean satirical film with documentary elements directed by Raúl Ruiz.

Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?";Rhythm And Weep.;Rhythm And Weep
"My Wife Is a Gangster 3
My Wife is a Gangster 3 is a 2006 Korean film. It is a sequel to"" My Wife is a Gangster 2"". This movie, however bearing the"" My Wife is a Gangster"" title, has little to no relation to the previous movies.

Which film came out first, My Wife'S Lodger or Ko 2?";"My Wife""s Lodger came out first.";My Wife'S Lodger
"Allos gia to ekatommyrio
Allos gia to ekatommyrio( Somebody for a Millionaire) is a 1964 Greek comedy film directed by Orestis Laskos and written by Nikos Tsiforos and starring Mimis Fotopoulos, Giannis Gkionakis, Beata Assimakopoulou, Vassilis Avlonitis and Eleni Anoussaki.

Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?";Elvira's Haunted Hills;Elvira'S Haunted Hills
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Who is the uncle of Catherine Allégret?";Simone Signoret.;Marc Allégret
"Jerome, 2nd Count de Salis
Jérôme de Salis, 2nd Count de Salis- Soglio( 8 July 17098 August 1794) was a Fellow of the Royal Society and sometime British Resident in the Grisons. He was also known as"" Hieronimus, Gerolamo, Geronimo, Harry, Jerome the grandfather"" and"" Monsieur le Comte de Salis"".

Who is the paternal grandfather of George De Salis?";Jerome, 2nd Count de Salis;Jerome, 4th Count de Salis-Soglio
"Catherine of Guelders
Catherine of Guelders was the fourth and youngest child of Arnold, Duke of Guelders (1410-1473) and Catherine of Cleves (1417–1479).

What is the date of death of Catherine Of Guelders's father?";1473;23 February 1473
"Robby Stewart
Robby Ray Stewart is a fictional character from the Disney Channel series ""Hannah Montana"", portrayed by Billy Ray Cyrus. Robby is the single father of Jackson Stewart (Jason Earles) and Miley Stewart (Miley Cyrus). He appears in all episodes in seasons 1 and 2, is absent for 3 episodes in season 3, and is absent for 1 episode in season 4.

Who is the father of the composer of song I Miss You (Miley Cyrus Song)?";Billy Ray Cyrus;Billy Ray Cyrus
"Secret Weapon
Secret Weapon or Secret Weapons may refer to:

What is the place of birth of the director of film Operation Secret?";Chicago.;New York
"Elizabeth G. Volkonskaia
Elizabeth Volkonskaia( 1838–1897) was a Russian noble and courtier. She played a leading role within the Catholic movement in Russia and has been referred to as the first woman in Russia to conduct serious historical theological studies. Her children were Sergei Mikhailovitch Volkonsky, Peter Volkonsky, Alexandr Volkonsky and Vladimir Volkonsky.

Who was born first out of Alexey Volkonsky and Wanderley Oliveira?";Alexey Volkonsky.;Wanderley Oliveira
"Bianca e Falliero
""Bianca e Falliero"" is a tale of emotional excess and bitter strife within war-threatened Venice. Falliero, the hero, comes home after defeating the enemies of Venice only to find his beloved Bianca promised to a rival and soon to be married.

Where did Bianca Riario's father die?";In Naples.;Forlì
"The Awakening (2006 film)
The Awakening is a 2006 Bollywood documentary film produced by Ajay Devgn and Kumar Mangat Pathak and directed by Faruk Kabir.

Where was the director of film Bollywood Calling born?";Faruk Kabir born in Kashmir.;Hyderabad
"Adamstown railway station, New South Wales
Adamstown railway station is located on the Main Northern line in New South Wales, Australia. It serves the southern Newcastle suburb of Adamstown, and was opened on 15 August 1887. As part of the electrification of the line in the early 1980s, new station buildings were built, the western relief line and Platform 3 removed, and the 1939 built signal box on Platform 1 that used to control movements to the Belmont line decommissioned on 4 December 1983. Until December 1991, the Belmont line diverged to the south- east of the station. The station was upgraded with new lifts and footbridge with work completed by late 2017. In 2019, Platform 1 was extended to accommodate 10- cars.

Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?";Yes.;yes
"Idols of the Radio
Idols of the Radio  is a 1934 Argentine directed by Eduardo Morera and written by Nicolás de las Llanderas and Arnaldo Malfatti. Starring Ada Falcon, Tito Lusiardo and Tita Merello.

Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?";Solos En La Madrugada;Idols Of The Radio
"Feel Good (Robin Thicke song)
""Feel Good"" is a song by American recording artist Robin Thicke, from his sixth studio album ""Blurred Lines"" (2013). The song was released to the Top 40 radio on November 12, 2013 as the album's fourth and final single. The track was produced by will.i.am.

Who is the mother of the performer of song Feel Good (Robin Thicke Song)?";Gloria Loring;Gloria Loring
"Joseph Alliluyev
The son of Stalin's daughter Svetlana Alliluyeva, Iosif was seven years old when Stalin, his mother's father and his famous grandfather, died in March 1953. Although he kept a low profile, he did take part in a television interview on Russian Channel One. He spoke about his relationship with his mother and how she fled to the United States.

Where did Tamara Imeretinsky's father graduate from?";Harvard University;Lancing College
"Louis-René de Caradeuc de La Chalotais
Louis- René de Caradeuc de La Chalotais( March 6, 1701 – July 12, 1785) was a French jurist who is primarily remembered for his role on the so- called"" Brittany Affair"", in which the Breton Parlement resisted the authority of the French monarchy over an issue of taxation. The affair has been seen as a precursor of the French Revolution.

Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?";Hermann Friedrich Graebe.;Louis-René De Caradeuc De La Chalotais
"John Adam (architect)
John Adam( 5 March 1721 – 25 June 1792) was a Scottish architect.

Where was the place of death of James Adam (Architect)'s father?";London;Edinburgh
"English Renaissance
The English theatre scene, which performed both for the court and nobility in private performances, and a very wide public in the theatres, was the most crowded in Europe, with a host of other playwrights as well as the giant figures of Christopher Marlowe, Shakespeare and Ben Jonson. Elizabeth herself was a product of Renaissance humanism trained by Roger Ascham, and wrote occasional poems such as On Monsieur's Departure at critical moments of her life. Philosophers and intellectuals included Thomas More and Francis Bacon. All the 16th century Tudor monarchs were highly educated, as was much of the nobility, and Italian literature had a considerable following, providing the sources for many of Shakespeare's plays. English thought advanced towards modern science with the Baconian Method, a forerunner of the Scientific Method. The language of the Book of Common Prayer, first published in 1549, and at the end of the period the Authorised Version (``King James Version ''to Americans) of the Bible (1611) had enduring impacts on the English consciousness.

Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?";Lady Margaret Beaufort graduated from Cambridge University.;St John's College
"IIFA Award for Best Actress
IIFA Award for Best Actress Awarded for Best Performance by an Actress in a Leading Role Country India Presented by International Indian Film Academy First awarded Aishwarya Rai, Hum Dil De Chuke Sanam (2000) Currently held by Alia Bhatt, Udta Punjab (2017) Website IIFA Awards

Which film was released more recently, Aami or Bitch Slap?";Aami.;Aami
"Busba Kitiyakara
"" Than Phu Ying"" Busba Kitiyakara Sathanapong( born 1934) was the daughter of Mom Chao Nakkhatra Mangala Kitiyakara and younger sister of Sirikit Kitiyakara, who became Queen of Thailand.

Who is Busba Kitiyakara's paternal grandfather?";Mom Rajawongse Kitiyakara Suksawat;Kitiyakara Voralaksana
"Sushil Datta
Sushil Datta also known as Sushil Datta Sharma( born February 4, 1959) is an Indian filmmaker, writer and film& media teacher based in Mumbai. During his career journey he has extensively worked in both film and television mediums. He has also been associated with some of the country's top media companies like UTV, Balaji Telefilms, Nimbus Television& Sports and Sudhir Mishra Productions. He is most noted for the feature film, Hazaaron Khwaishein Aisi( 2003), where he served as an Executive Producer. In Television, India's first countdown show “ Superhit Muqabla ” was also directed by him.

Who is the father of the director of film Ae Dil Hai Mushkil?";Sushil Datta.;Yash Johar
"Who Do You Love (Marianas Trench song)
"" Who Do You Love""( stylized as"" Who Do You Love?"") is a song recorded by Canadian pop rock group Marianas Trench for their fourth studio album,"" Astoria""( 2015). The song was written and produced by lead singer Josh Ramsay. "" Who Do You Love"" was released through 604 Records on September 8, 2016 as the record's third and final official single.

Who was born first out of Ramsay Anderson and Fernand Fédronic?";Ramsay Anderson was born first.;Ramsay Anderson
"Pensione paura
Pensione paura  is a 1978 film directed by Francesco Barilli.

Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?";Yes.;yes
"The Dawn of a Tomorrow
The Dawn of a Tomorrow may refer to:

What is the place of birth of the director of film Dawn Of Life?";Germany.;San Juan, Puerto Rico
"Jeanne Raunay
Jeanne Richomme Raunay (25 November 1868 – 1942) was a French mezzo-soprano opera singer. She was also the daughter of painter Jules Richomme, and the wife of French writer André Beaunier.

Where was the husband of Jeanne Raunay born?";France.;Évreux
"The Edifying and Joyous Story of Colinot
The Edifying and Joyous Story of Colinot  is a 1973 French comedy film directed and written by Nina Companéez. Francis Huster stars as the title character, Colinot. It is notable as the final film appearance of Brigitte Bardot who retired from the entertainment industry when the film went into post-production.

Are the directors of films The Edifying And Joyous Story Of Colinot and Cold Moon both from the same country?";Yes.;yes
"Mother Pluto
Mother Pluto is a Silly Symphonies cartoon released on November 14, 1936, directed by David Hand. The cartoon features the adorable pup, Pluto.

What is the place of birth of the performer of song Pluto (Song)?";United States;Reykjavík
"Princess Margaretha of Saxony
Princess Margaretha of Saxony, Duchess of Saxony( 24 May 1840 – 15 September 1858) was the eighth child and fifth eldest daughter of John of Saxony and his wife Amalie Auguste of Bavaria and a younger sister of Albert of Saxony and George of Saxony. She was born in Dresden, then in the Kingdom of Saxony. Through her marriage to Archduke Charles Louis of Austria, Margaretha was a member of the House of Habsburg- Lorraine and an Archduchess and Princess of Austria and Princess of Hungary, Croatia, Bohemia, and Tuscany.

What is the place of birth of Princess Margaretha Of Saxony's mother?";Bavaria.;Munich
"2010 Shanghai International Film Festival
The 2010 Shanghai International Film Festival is the 13th such festival devoted to international cinema to be held in Shanghai, China. It was held from June 12–20, 2010.

Who is the spouse of the director of film West Of Shanghai?";Belle Bennett.;Maureen O'Sullivan
"Tom and Jerry (disambiguation)
Tom and Jerry are cat and mouse cartoon characters, Tom Cat and Jerry Mouse that debuted in 1940. Tom and Jerry may also refer to:

Do director of film Jerry And Tom and director of film Kansas City Princess share the same nationality?";Yes.;no
"Amelie or The Time to Love
Amelie or The Time to Love  is a 1961 French drama film directed by Michel Drach. It was entered into the 11th Berlin International Film Festival.

Which film was released earlier, Amelie Or The Time To Love or Beginners?";Amelie or The Time to Love.;Amelie Or The Time To Love
"Look at Me (XXXTentacion song)
""Look at Me"" (stylized as ""Look at Me!"") is the debut single by American rapper XXXTentacion. The song premiered on December 30, 2015, on the SoundCloud account of Rojas, the song's co-producer, before initially being released for digital download as a single on January 29, 2016, becoming a sleeper hit in January 2017, in which the single was later re-released for digital download again with a remastered and clean version of the single on February 20, 2017, by Empire Distribution. The song serves as the lead single from his debut commercial mixtape ""Revenge"". The track was produced by Rojas and Jimmy Duval, and heavily samples the song ""Changes"" by British dubstep DJ and record producer Mala. The song was met with critical acclaim due to its production and XXXTentacion's style of rapping, and peaked at number 34 on the US ""Billboard"" Hot 100. It currently has 161.1 million plays since its addition on SoundCloud, as well as over 281 million views on YouTube. ""Look at Me"" was certified Platinum by the Recording Industry Association of America (RIAA) on August 14, 2017, with over one million single-equivalent units.

What is the cause of death of composer of song Look At Me (Xxxtentacion Song)?";Gunshot.;shot
"Cairo Exit
Cairo Exit( El Khoroug) is a feature- length film directed by Hesham Issawi whose production started in Cairo, Egypt, in 2010.

Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?";Natürlich Die Nelli came out first.;Natürlich Die Nelli
"Constantine Palaiologos (half-brother of Michael VIII)
Constantine Palaiologos or Palaeologus( died 1271) was a Byzantine nobleman and the younger half- brother of the Byzantine Emperor Michael VIII Palaiologos.

Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?";Irene Komnene Doukaina.;Elizabeth the Cuman
"Lucky Me
Lucky Me or LuckyMe may refer to:

Where was the performer of song Lucky Me, Lucky You born?";South Korea.;Abilene
"17
Seventeen or 17 may refer to:

What is the place of birth of the creator of Miss Seventeen?";New York;Tehran
"Brenda Brave
Brenda Brave (original title: Kajsa Kavat) is a 1989 Swedish film directed by Daniel Bergman and based on the novel ""Brenda Brave Helps Grandmother"" by Astrid Lindgren.

Who is the mother of the director of film Brenda Brave?";Ingrid Bergman.;Käbi Laretei
"Meritites II
Meritites II (Merytiotes, Meritetes) or Meritites A (""beloved of her father"") was a 4th dynasty Princess of Ancient Egypt, and probably a daughter of King Khufu. She may have been a daughter of Meritites I based on the fact that this queen is mentioned in mastaba G 7650. She married the Director of the Palace Akhethotep (a non-royal court official) and she had several children with her husband. Meritites and her husband shared a mastaba (G 7650) in Giza.

Where was the place of burial of Meritites I's husband?";mastaba G 7650;Great Pyramid of Giza
"Wisigard
Wisigard (c. 510 - c. 540) or ""Wisigardis"" was a Frankish Queen in the 6th century. The life of Wisigard is slightly known by Gregory of Tours's ""Historia Francorum"". She was daughter of Wacho, king of the Lombards and grew up in the middle Danube region. After an abnormally long term of engagement of seven years, Wisigard married Theudebert I, Merovingian king of Austrasia. Around 531 Theuderich I, father of Theudebert I, had arranged the engagement for political reasons. But because of a liaison Theudebert had with a Roman woman named Deuteria, the union with Wisigard fell through. Anew for political reasons Theudebert abandoned Deoteria and finally married Wisigard in 537 or 538. Shortly after their wedding, she died.

Who is Wisigard's father-in-law?";Theuderich I.;Theuderic I
"Dorothea Maria of Saxe-Weimar, Duchess of Saxe-Zeitz
Dorothea Maria of Saxe- Weimar( 14 October 1641 – 11 June 1675), was by birth Duchess of Saxe- Weimar from the Ernestine branch of the House of Wettin and by marriage Duchess of Saxe- Zeitz.

Where was the place of death of Duchess Maria Dorothea Of Württemberg's father?";Weimar.;Kirchheim unter Teck
"The Pride of Jennico (film)
The Pride of Jennico is a lost 1914 silent swashbuckler film directed by J. Searle Dawley. It was produced by Adolph Zukor and released on a State Rights basis. On the Broadway stage, the play starred James K. Hackett, Bertha Galland and Arthur Hoops.

Where was the director of film The Pride Of Jennico (Film) born?";J. Searle Dawley was born in Del Norte, Colorado.;Colorado
"Gently My Songs Entreat
Gently My Songs Entreat( German:) is a 1933 Austrian- German musical film directed by Willi Forst and starring Marta Eggerth, Luise Ullrich and Hans Jaray. Art direction was by Julius von Borsody. The film is a biopic of the composer Franz Schubert( 1797 – 1828). It was Forst's directorial debut. A British version was made called"" Unfinished Symphony"". The German title refers to the first line of the Lied"" Ständchen""( Serenade) from Schubert's collection"" Schwanengesangthe most famous serenade in the world"", which Eggerth performs in the film.

Where was the director of film Gently My Songs Entreat born?";Austria.;Viennese
"Eleanor of England, Queen of Castile
Eleanor of England( c. 1161 – 31 October 1214), was Queen of Castile and Toledo as wife of Alfonso VIII of Castile. She was the sixth child and second daughter of Henry II, King of England, and Eleanor of Aquitaine.

What is the cause of death of Eleanor De Clare's husband?";Alfonso VIII of Castile died from a fever.;hanged, drawn and quartered
"Oi Va Voi (album)
Oi Va Voi is the third studio album released by the English, London based experimental band Oi Va Voi.

What is the cause of death of performer of song Voi Voi?";Unknown.;illness
"Pehchaan 3D
Pehchaan 3D is the first Punjabi 3 D movie based on a true story.

Which film has the director died first, Resan Till Dej or Rocking Moon?";Resan Till Dej;Rocking Moon
"Christ Walking on the Water
Christ Walking on the Water  is an 1899 French short silent film directed by Georges Méliès.

Which film has the director born later, Christ Walking On The Water or 45 Fathers?";45 Fathers;45 Fathers
"Breslin and Hamill: Deadline Artists
Breslin and Hamill: Deadline Artists is a 2018 HBO documentary about Jimmy Breslin and Pete Hamill, ""two of the most celebrated newspapermen of the 20th century"" who worked in New York City covering events of the late 20th century. The film was directed by John Block, Jonathan Alter, and Steve McCarthy.

Are both directors of films Breslin And Hamill: Deadline Artists and Jean The Tenant from the same country?";Yes.;yes
"Bal Vidyalaya (Kota)
Bhuvnesh Bal Vidyalaya, previously known as Bal Vidyalaya, is a private Senior Secondary School in Kota in the Indian state of Rajasthan. The school was built on land donated by His Highness Late Maharao Bhim Singhji of Kota. Dr. V.K.R.V. Rao( then Minister of Education) laid the foundation stone on 24 May 1970. The building was inaugurated on 25 July 1974 by Shri Mohan Lal Sukhadia, then Governor of Karnataka.

Are Bal Vidyalaya (Kota) and Loreto House both located in the same country?";Yes;yes
"Engelbert, Count of Nevers
Engelbert of Cleves, Count of Nevers( 26 September 1462 – 21 November 1506) was the younger son of John I, Duke of Cleves and Elizabeth of Nevers, only surviving child of John II, Count of Nevers. In 1481, he was sent with a large army to the Bishopric of Utrecht by his brother John II, Duke of Cleves where they successfully ousted David of Burgundy. But after the Siege of Utrecht( 1483) he had to flee, and Utrecht returned to the control of Burgundy. He married Charlotte of Bourbon- Vendôme, daughter of John VIII, Count of Vendôme, circa 1489. Their son Engelbert became Count of Nevers and Eu in 1491 upon the death of his maternal grandfather John II, Count of Nevers. His eldest brother John II( 1458 – 1521) inherited Cleves.

When did Engelbert, Count Of Nevers's mother die?";1462;21 June 1483
"The Black Diamond Express
The Black Diamond Express is a 1927 silent railroad feature film drama directed by Howard Bretherton and starring Monte Blue. It was produced and distributed by Warner Bros .. It is not to be confused with several early short actuality styled films under the title ""Black Diamond Express"" for example the famous and still exiting 1896 film of a train arriving in a station. This film is presumed lost.

Which film has the director died later, Excursion Train or Bad Day At Black Rock?";"""Bad Day At Black Rock""";Bad Day At Black Rock
"Emanuelle and the Last Cannibals
Emanuelle and the Last Cannibals  is a 1977 Italian sexploitation cannibal film directed by Joe D'Amato. The film involves Emanuelle (Laura Gemser) a photojournalist who discovers a woman in a mental hospital who is a cannibal who has tattoos of an Amazonian tribe on her skin. Along with Professor Mark Lester (Gabriele Tinti), the two travel to the Amazon with a team to discover the source of the long-thought-extinct tribe that still practices cannibalism today. The film is an entry in the ""Black Emanuelle"" series and features elements of cannibal films which had just gained popularity after the release of ""Ultimo mondo cannibale"" (1977). D'Amato referred it in an interview as ""a reasonable commercial success, especially abroad"".

Which film has the director who died later, Emanuelle And The Last Cannibals or Hostile Country?";"The director of ""Emanuelle and the Last Cannibals"" died later.";Emanuelle And The Last Cannibals
"Universal Pictures
Laemmle, Jr. created a niche for the studio, beginning a series of horror films which extended into the 1940s, affectionately dubbed Universal Horror. Among them are Frankenstein (1931), Dracula ( also in 1931), The Mummy (1932) and The Invisible Man (1933). Other Laemmle productions of this period include Imitation of Life (1934) and My Man Godfrey (1936).

Which film has the director died later, Just Like A Woman (1939 Film) or Madigan'S Millions?";"The director died later in the film ""Just Like A Woman"" (1939).";Madigan'S Millions
"Ludlow Massacre (song)
"" Ludlow Massacre"" is a song by Woody Guthrie about the Ludlow Massacre, a labor conflict in Ludlow, Colorado, in 1914. A related song is the"" 1913 Massacre"". Woody Guthrie wrote:

Why did the performer of song Ludlow Massacre (Song) die?";Huntington's disease.;Huntington's disease
"Cooee and the Echo
Cooee and the Echo is a 1912 Australian silent film directed by Alfred Rolfe. It is considered a lost film.

Which film has the director who died later, Cooee And The Echo or Sweepings?";Sweepings;Sweepings
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which film has the director born earlier, The Newest Pledge or Más Allá De La Aventura?";The Newest Pledge.;Más Allá De La Aventura
"Slingshot (film)
Slingshot is a 2005 American independent crime film directed by Jay Alaimo and written by Alaimo& Matt Fiorello and Matthew Quinn Martin. The film stars David Arquette, Thora Birch, Balthazar Getty and Julianna Margulies.

Where was the director of film Slingshot (Film) born?";United States.;Suffield, Connecticut
"The Day the Rains Came
The Day the Rains Came may refer to:

Which film has the director who was born first, I Come With The Rain or A Question Of Attribution?";I Come With The Rain (Tran Anh Hung);A Question Of Attribution
"Lashkenar
Lashkenar or Lash Kenar may refer to:

Are Coal City, Illinois and Lash Kenar, Nur both located in the same country?";No.;no
