Prompt;Response;Ground Truth
"Palenque International Airport is an international airport located in Palenque, Chiapas, Mexico. It handles national and international air traffic for the city of Palenque. It is operated by Grupo Aeroportuario de Chiapas, a government- owned corporation. The airport was officially inaugurated on March 13, 2014. On that date, Interjet started bi-weekly service to Mexico City; as a result, traffic increased to 18,148 passengers in 2015. On 16 December 2016, the Secretariat of Communications and Transportation declared that Palenque met the infrastructure, facilities, equipment and service requirements to be authorised as an international civil airfield. It handled 14,427 passengers in 2017, and 17,482 passengers in 2018.

Which award the composer of film Pataakha won?";Vishal Bhardwaj won the Mirchi Music Award.;National Film Award for Best Music Direction
"Khemchand Prakash( 12 December 1907 – 10 August 1949) was a music composer in the Hindi film industry. He had few peers in 1940s, the best decade for Indian film music which started with Saigal very active on the scene and ended with Lata Mangeshkar firmly established as the brightest star in the industry. Lata had fruitful association with him( in films Asha, Ziddi, Mahal) when she started making a name for herself. Many years after Khemchand Prakash's death, the ace composer Kamal Dasgupta rated him the best composer. Khemchand's brother, Basant Prakash, was also a film composer.

What is the place of birth of the performer of song Damage (Pharoahe Monch Song)?";Queens, New York, USA.;Queens
"Damage is a song by American hip hop artist Pharoahe Monch, released as the lead single from his fourth studio album, P.T.S.D. (Post Traumatic Stress Disorder). Prior to its release date, Pharoahe Monch's independent label, W.A.R. Media, published a visual trailer to YouTube on September 22, 2012. The song was officially made available for purchase worldwide on September 27, 2012, on the iTunes Music Store by W.A.R. Media in conjunction with Duck Down Music Inc.. The Lee Stone-produced song is the final piece to Pharoahe's bullet trilogy in which he anthropomorphizes a slug fired with the intent to annihilate, and tackles the issue of gun violence. The song and its provide a chilling reminder that bullets have no name.

Where did Henry C. Lord's father graduate from?";Williams College;Bowdoin College
"He was born at Southampton, where his father Richard Mant D.D. was headmaster of the King Edward VI School. He was educated at Winchester College and at Trinity College, Oxford which he entered in 1793. His maternal grandfather was the scholar Joseph Bingham. He was elected a Scholar of the College in 1794, graduated B.A. in 1797, and became a Fellow of Oriel College in 1798, a position he held to 1804.

Which film whose director is younger, Uncharted Seas or Something Of Value?";Uncharted Seas;Something Of Value
"Something of Value is a 1957 drama directed by Richard Brooks and starring Rock Hudson, Dana Wynter, and Sidney Poitier. The film was reissued under the title Africa Ablaze. The film, based on the book of the same name by Robert Ruark, portrays the Mau Mau uprising in Kenya. It shows the colonial and native African conflict caused by colonialism and differing views on how life should be lived. It stars Rock Hudson as the colonial and Sidney Poitier as the native Kenyan. The two men grew up together but have drifted apart at maturity.

Which film has the director born later, My Own Private Idaho or Lucignolo?";My Own Private Idaho.;Lucignolo
"My Own Private Idaho is a 1991 American independent adventure drama film written and directed by Gus Van Sant, loosely based on Shakespeare's Henry IV, Part 1, Henry IV, Part 2, and Henry V, and starring River Phoenix and Keanu Reeves. The story follows two friends, Mike and Scott, as they embark on a journey of personal discovery that takes them from Portland, Oregon to Mike's hometown in Idaho, and then to Rome in search of Mike's mother.

What is the date of birth of Prince Bernhard Of Orange-Nassau, Van Vollenhoven's father?";June 29, 1911;April 30, 1939
"Prince Bernhard Lucas Emmanuel of Orange- Nassau, van Vollenhoven( born 25 December 1969) is the second son of Princess Margriet of the Netherlands and Pieter van Vollenhoven. Before the succession of his cousin Willem- Alexander as King, he was a member of the Dutch Royal House and eleventh in the line of succession to the Dutch throne. With Willem- Alexander's succession however, he is no longer a member of the Dutch Royal House, and is no longer in line to direct succession to the Dutch throne, but still retains its membership as a member of the Dutch Royal Family

Are the bands The Catheters and Dark At Dawn, from the same country?";No.;no
"Dark at Dawn is a power metal band from Germany, formed in 1993.

Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?";Sigrid the Haughty.;Sigrid the Haughty
"Lady Ingeborg Åkesdotter Tott or 'Ingeborg Aagesdotter of the Thott' (Year of birth unknown –December 1507), in her lifetime called Ingeborg Åkesdotter or simply Fru Ingeborg (Lady Ingeborg), was a Swedish noble, the consort of the Swedish regent Sten Sture the elder (reign 1470–97 and 1501–03). She was the fiefholder of Häme in Finland. She functioned as the de facto queen consort of Sweden for over three decades and participated in state affairs during the reign of her spouse.

Where was the place of death of the creator of Conan The Adventurer (1992 Tv Series)?";San Francisco, California;Cross Plains
"Conan the Adventurer is an American-French-Canadian animated television series adaptation of Conan the Barbarian, the literary character created by Robert E. Howard in the 1930s. Produced by Jetlag Productions and Sunbow Productions, the series debuted on September 13, 1992, ran for 65 episodes and concluded on November 22, 1993. The series was developed by Christy Marx who served as the sole story editor. The series was produced in association with Graz Entertainment for the first 13-episode season; AB Productions and Jean Chalopin's Créativité et Développement for the remaining episodes. The series also spawned a small toyline in 1992 created by Hasbro. This first incarnation of Conan in cartoon form performed much better than its follow-up cartoon, Conan and the Young Warriors, which lasted only 13 episodes.

Are the directors of films The Swordsman (Upcoming Film) and Shopworn both from the same country?";No.;no
"The Swordsman is a 1948 American swashbuckler film directed by Joseph H. Lewis and starring Larry Parks.

Are The Man Who Knew Too Much (1956 Film) and Man On Wire both from the same country?";No.;yes
"Man on Wire is a 2008 British- American biographical documentary film directed by James Marsh. The film chronicles Philippe Petit's 1974 high- wire walk between the Twin Towers of New York's World Trade Center. It is based on Petit's book, To Reach the Clouds, released in paperback with the title Man on Wire. The title of the film is taken from the police report that led to the arrest( and later release) of Petit, whose performance had lasted for almost one hour. The film is crafted like a heist film, presenting rare footage of the preparations for the event and still photographs of the walk, alongside re-enactments( with Paul McGill as the young Petit) and present- day interviews with the participants, including Barry Greenhouse, an insurance executive who served as the inside man.  Man on Wire competed in the World Cinema Documentary Competition at the 2008 Sundance Film Festival, where it won the Grand Jury Prize: World Cinema Documentary and the World Cinema Audience Award: Documentary. In February 2009, the film won the BAFTA for Outstanding British Film, the Independent Spirit Awards, and the Academy Award for Best Documentary Feature.

What is the place of birth of the director of film The Fj Holden?";Australia.;Sydney, Australia
"The FJ Holden is a 1977 Australian film directed by Michael Thornhill.  The FJ Holden is a snapshot of the life of young teenage men in Bankstown, New South Wales, Australia in the 1970s and deals with the characters' difficulty in reconciling mateship with respect for a girlfriend. Debi Enker in Australian Cinema comments: The FJ Holden presents the suburbs as a cultural and spiritual desert. It is a place where regular bouts with the bottle are the only antidote for lives without hope or direction. The film initially received a R classification from the Australian Film Board of Review, but after an appeal to the censors it was revised to a M classification for moderate sex scenes and moderate coarse language. However, all states except Victoria and New South Wales exercised their right to override the Commonwealth decision and retained the R classification.

Who was born later, Lisbeth Cathrine Amalie Rose or Princess Raiyah Bint Hussein?";Princess Raiyah Bint Hussein;Princess Raiyah Bint Hussein
"Princess Raiyah bint Hussein( born 9 February 1986) is the youngest daughter of King Hussein of Jordan and Queen Noor. She has two brothers Hamzah and Hashem and an elder sister Princess Iman. She is a half- sister to King Abdullah II of Jordan.

Where was the performer of song Step Into The Light (Myra Song) born?";Whittier, California.;California
"Step Into The Light is an exclusively Japanese released single by Mexican-American singer, Myra. The song was written by Michelle Hart, Marc Hugenburger, and Catte Adams and included on the re-release of her album, Myra called Myra+more. It was also accompanied by a music video with Myra wearing similar garments in her previous single, Lie, Lie, Lie.  The single was remixed by Love to Infinity and was a commercial success within the nightclub and Harajuku scenes in Japan in 2002 after the success of her previous single, Lie, Lie, Lie, and its accompanying remixes by Akira Boss Yokota for (Y&Co.), Selju Honmach from SCHWEITZER, and DJ akim for MISSION B productions, as well. The original mix produced by Michelle Hart and Marc Hugenburger for Sweethart Productions is featured on two editions of Avex 15th Anniversary Presents 15 Years 150 Hits compilation sets.

Which country the director of film One Night At Mccool'S is from?";USA;Norwegian
"One Night at McCool's is a 2001 American black comedy film written by Stan Seidel, directed by Harald Zwart, and starring Liv Tyler, Matt Dillon, Paul Reiser, John Goodman, Michael Douglas, and Andrew Silverstein.

Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?";Louis the Pious;Conrad II
"Beatrice of Luxembourg (1305 – 11 November 1319), was by birth member of the House of Luxembourg and by marriage Queen of Hungary. She was the youngest child of Henry VII, Holy Roman Emperor and his wife, Margaret of Brabant. Her two siblings were John of Luxembourg and Marie of Luxembourg, Queen of France.

Who is the paternal grandmother of John Iii, Duke Of Cleves?";Margaret of Brabant.;Elizabeth of Nevers
"Lavinia Jannetta Horton Ryves, née Lavinia Serres( 16 March 1797 – 7 December 1871), was a British woman claiming to be a member of the British royal family, calling herself Princess Lavinia of Cumberland. Born in Liverpool, England, Lavinia was the daughter of Olivia Serres and John Thomas Serres. Olivia Serres gained notoriety by claiming to be the daughter of Prince Henry, Duke of Cumberland and Strathearn, a younger brother of King George III of the United Kingdom. In 1822 Lavinia married Anthony Ryves, a portrait painter. They were divorced in 1841. In 1844 Princess Lavinia tried to take Arthur Wellesley, 1st Duke of Wellington to court for having overlooked, as George III's executor, a bequest of £ 15,000 to Olivia. In 1850 Lavinia published a pamphlet requesting financial aid from Queen Victoria. In 1866, aged sixty- nine, Princess Lavinia asked the Court of Probate to declare her the legitimate granddaughter of the Duke of Cumberland and award her the £ 15,000 bequest left by George III. In the process of the 1866 trial, Lavinia produced several remarkable documents attesting to her claims, and a handwriting expert testified to the authenticity of George III's and James Wilmot's signatures. Testimony was introduced that in fact the Duke of Kent had supported Olivia financially, and had spoken of Olivia as my cousin Serres, apparently believing her story. The trial was most considered remarkable, perhaps, for the claims made by Dr. Walter Smith, Lavinia's barrister, that George III had been privately married to a Quaker, Hannah Lightfoot, and that in consequence thereof, neither George IV nor Queen Victoria had any right to the throne. Lavinia's case, however, quickly ran into difficulties: in some of the submitted documents, George III had signed his name as George Guelph; in others, William Pitt and Lord Brook had signed as earls before they had in fact become earls. The court found that Lavinia was the legitimate daughter of John and Olivia Serres and was not the granddaughter of the Duke of Cumberland. The court did not prosecute Lavinia for forgery: Lavinia maintained she believed in good faith that the documents left her by Olivia were genuine. It is thought that the documents were in fact forged at the behest of Olivia, rather than Lavinia, perhaps by William FitzClarence, Olivia's boyfriend, who had calligraphic talents. Lavinia continued to write pamphlets in support of her claims, and her case was reheard by the House of Lords. She died with her claims unrecognized.

Where was the place of death of George Thomas Orlando Bridgeman's father?";Westminster, London;Weston Park
"Sir Orlando Bridgeman, 4th Baronet( 2 July 1695 – 25 July 1764) was a British baronet and politician. Born in Blodwell in Shropshire, he was the oldest son of Sir John Bridgeman, 3rd Baronet and his wife Ursula, daughter of Roger Matthews. Bridgeman was educated at New College, Oxford and in 1713, he was called to the bar by the Inner Temple. In 1723, he entered the British House of Commons, sitting for Shrewsbury in the next four years. He succeeded his father as baronet on the latter's death in 1747. On 8 April 1719, Bridgeman married Anne Newport, third daughter of Richard Newport, 2nd Earl of Bradford. They had three sons and two daughters. His wife died in 1752 and Bridgeman survived her until 1764, aged 69; both were buried at Weston Park in the county of Staffordshire. His oldest son having predeceased him, he was succeeded in the baronetcy by his second son Henry, who later was raised to the peerage as Baron Bradford.

What nationality is Imperial Noble Consort Chunhui's husband?";British;Qing dynasty
"Imperial Noble Consort Quehui( 1668 – 24 April 1743), of the Manchu Bordered Yellow Banner Tunggiya clan, was a consort of the Kangxi Emperor. She was 14 years his junior.

Which film has the director who died later, Say It With Flowers or Boot Hill Bandits?";Say It With Flowers;Boot Hill Bandits
"Say It With Flowers is a 1934 British musical film directed by John Baxter and starring Mary Clare, Ben Field and George Carney. The screenplay concerns a group of London shopkeepers who hold a benefit concert in a local pub to raise money for a woman to visit the seaside for her health. The film is notable for the performances of several real music hall stars Florrie Forde, Charles Coborn and Marie Kendall.

Who is younger, Nicolas Görtler or Michel De Salzmann?";Nicolas Görtler.;Nicolas Görtler
"Olaf Schmäler( born 10 November 1969) is a German former footballer. He is the twin brother of Nils Schmäler.

Which country Anthemiolus's father is from?";Germany.;Roman Empire
"Anthemiolus (died c. 471 AD) was the son of the Western Roman Emperor Anthemius (467–472) and Marcia Euphemia, daughter of the Eastern Roman emperor Marcian. His name means little Anthemius and is a diminutive of his and his father's name Anthemius, in order to distinguish them both. His life is known only from the Chronica Gallica of 511. He was sent by his father to Gaul with a powerful army, accompanied by three generals — Thorisarius, Everdingus, and Hermianus — in order to oppose the Visigoths then occupying Provence and threatening to conquer the Auvergne. He and his generals were defeated by the Visigothic king Euric near Arles and all four of them lost their lives. The Chronica, in entry 649, states: Antimolus a patre Anthemio imperatore cum Thorisario, Everdingo et Hermiano com. stabuli Arelate directus est, quibus rex Euricus trans Rhodanum occurrit occisisque ducibus omnia vastavit Antimolus was sent by his father, Emperor Anthemius, to Arles, with Thorisarius, Everdingus and Hermanius, comes [or comitesstabuli: King Euric met them on the far side of the Rhone and, having killed the duces, laid everything waste. According to the Chronica, this event falls between the succession of Euric (467) and the war between Anthemius and Ricimer (471–472). It can probably be further narrowed to the period when Anthemius is known to have been organising a concerted effort to remove the Visigoths from Gaul between 468 and 471, a period during which an army led by the Briton Riothamus was defeated near Déols. It is not impossible that Anthemiolus' army was sent to reinforce Riothamus and that Euric defeated both forces in turn, probably in either 470 or 471.

Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?";Arizona;Arizona
"This Time is a song written and performed by the American country music artist Waylon Jennings. It is the title track from the album This Time and was released in April 1974 as the album's first single. The song reached No. 1 on the Billboard Hot Country Singles chart in June 1974 and was his first of fourteen country No. 1 hits.

Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?";King Louis-Philippe of France;Louis Philippe II, Duke of Orléans
"Philippe Charles d'Orléans, petit-fils de France, Duke of Valois (16 July 1664 – 8 December 1666) was a French prince and Grandson of France. He was styled Duke of Valois at the time of his birth. He was a short lived nephew of Louis XIV.

Which film has the director who is older than the other, Judy Berlin or Tonight At Twelve? ";Judy Berlin;Tonight At Twelve
"Tonight at Twelve is a 1929 American drama film directed by Harry A. Pollard and written by Matt Taylor, Harry A. Pollard and Owen Davis. It is based on the 1928 play Tonight at 12 by Owen Davis. The film stars Madge Bellamy, Robert Ellis, Margaret Livingston, Vera Reynolds, Norman Trevor and Hallam Cooley. The film was released on September 29, 1929, by Universal Pictures.

What nationality is Ferdinand Of Portugal, Duke Of Guarda's mother?";Spanish.;Spanish
"Ferdinand of Portugal, Duke of Guarda, (5 June 1507 – 7 November 1534) was a Portuguese infante (prince), the son of King Manuel I of Portugal and his second wife, Maria of Aragon.

Did the movies Passer L'Hiver and In My Skin, originate from the same country?";Yes, France.;yes
"On My Skin( also known as Upon My Skin) is a 2003 Italian crime- drama film written and directed by Valerio Jalongo. It was screened in competition at the 2003 Turin Film Festival.

Are both director of film Germany, Year Zero and director of film Cross Shot from the same country?";Yes.;yes
"Cross and Mauser  is a 1925 Soviet silent adventure film directed by Vladimir Gardin.

Which film has the director who was born first, Ghost-Town Gold or The Musician Killer?";Ghost-Town Gold;Ghost-Town Gold
"The Musician Killer  is a 1976 French drama film directed by Benoît Jacquot and starring Anna Karina.

What is the place of birth of Consort Liang's husband?";Unknown;Chinese
"Consort Liang (, personal name unknown) (62-83?) , posthumous title Empress Gonghuai (, literally, empress of reverent recollection), was an imperial consort to Emperor Zhang of Han. She gave birth to his son Liu Zhao () in 79, but her son was adopted by Emperor Zhang's wife Empress Dou and would not know his birth mother's identity until a long time later, after he became emperor (as Emperor He).

Where did Muza Niyazova's husband die?";Unknown.;Ashgabat
"Muza Niyazova née Melnikova is a Turkmen public figure who served as the First Lady of Turkmenistan from 1991 until 2006. She is the widow of former President of Turkmenistan Saparmurat Niyazov, with whom she had two children.

Are both stations, Muzaffargarh Railway Station and Raisan Railway Station, located in the same country?";No.;yes
"Raisan railway station is located in Pakistan.

Do John Amyas Alexander and Albert Seward share the same nationality?";No.;yes
"John Aubrey Allen( born 19 July 1974 in Windsor, New South Wales) is an Australian- born first- class cricketer who played for Oxford University Cricket Club. Both his first- class games were for Oxford University, one of which was a varsity match.

Who is younger, Bernard Chambaz or Tibor Pézsa?";Tibor Pézsa;Bernard Chambaz
"Balázs Rabóczki( born 9 January 1978) is a Hungarian football player. During his career he has been goalkeeper position. In the summer of 2009, Rabóczki ended his career.

Which award the composer of film Bhookh (1947 Film) won?";C. Ramchandra;Sangeet Natak Akademi Award
"Bhukha or Bhookha is a 1989 Sambalpuri film directed by Sabyasachi Mohapatra. The movie was produced by Mohapatra under the banner of Kumar Productions and had music by Ramesh Kumar Mahananda. This movie is based on the Sambalpuri play Bhukha written by Manglu Charan Biswal. This is the first Oriya film to get an International Jury Award at the Gijón International Film Festival.

Which film has the director who was born first, The Ballad Of Gregorio Cortez or Naiyya?";The Ballad Of Gregorio Cortez;The Ballad Of Gregorio Cortez
"The Tango on Broadway (Spanish: El tango en Broadway) is a 1934 American musical film directed by Louis J. Gasnier and starring Carlos Gardel, Trini Ramos and Blanca Vischer. The film was a Spanish-language production made in the United States, for release to Spanish-speaking audiences at home and abroad. It was made by Paramount Pictures at the company's New York Studios. Gardel was a popular Argentinian singer of tango music who made a number of films for Paramount before his death in 1935. Like Gardel's other American films, it is not a version of an existing English-language film, but a completely original story. By contrast, most of Hollywood's Spanish language films were remakes of English productions.

Which film has the director who is older, The Boy Turns Man or A Strange Adventure?";The Boy Turns Man - Directed by Louis J. Gasnier.;A Strange Adventure
"The Boy Turns Man(/ Momcheto si otiva) is a Bulgarian comedy- drama film released in 1972, directed by Lyudmil Kirkov, starring Nevena Kokanova, Philip Trifonov, Kiril Gospodinov and Sashka Bratanova. The movie tells the story of Ran( Trifonov) and his schoolmates, the graduates at the high school in a small town. During the last days as a schoolboy, Ran thinks on the possible roads of the life while walking on the streets of his hometown as if for the last time. Three different women are involved in these moments of quest, consideration and valedictory meetings. The film received a broad critical acclaim and turned into one of the classics of the Bulgarian cinematography. The song People and Streets from the soundtrack to the movie, performed by Mimi Ivanova and Boris Godjunov, became one of the most popular songs of the Bulgarian variety. A sequel, named Do n't Go Away, was released in 1976 directed again by Lyudmil Kirkov.

Who is Joan, Countess Of Chiny's paternal grandfather?";Joan, Countess Of Chiny's paternal grandfather is Otto I, Count Of Chiny.;Louis III, Count of Chiny
"Joan( c. 1205 – 17 January 1271) was the Countess of Chiny. Joan was the daughter of Louis IV, Count of Chiny, and Matilda of Avesnes, and became ruler of the county upon her father ’s death on 7 October 1226. She married Arnold IV, Count of Loon, son of Gerard III, Count of Rieneck, and Kunigunde von Zimmern, in 1228, whereupon he assumed the role of Count of Chiny. Joan and Arnold had the following children: She was succeeded as ruler of Chiny by her husband, Arnold II, Count of Chiny.

Where was the father of Prince Charles Louis, Duke Of Chartres born?";Gerard III was born in Rieneck.;Rabat
"Prince Charles Louis of Orléans, Duke of Chartres( Charles Louis Henri Foulques Benoît Elzéar Jean Marie; born 28 July 1972) is the elder son of Prince Jacques, Duke of Orléans and Gersende de Sabran- Pontevès.

Where was the place of burial of Ælfgar, Earl Of Mercia's mother?";Coventry.;Coventry
"Ælfgar (died c. 1060) was the son of Leofric, Earl of Mercia, by his famous mother Godgifu (Lady Godiva). He succeeded to his father's title and responsibilities on the latter's death in 1057. He gained the additional title of Earl of East Anglia, but also was exiled for a time. Through the first marriage of his daughter he would become father-in-law of the Welsh king Gruffydd ap Llywelyn; a few years after his death, his daughter would become a widow and marry English King Harold.

Which country Dexter Young's mother is from?";Unknown;China
"Dexter Young (a.k.a. Yeung Tin-king, , born 25 March 1975) is a Hong Kong actor who joined TVB in 2007. He is the son of well-known Hong Kong actress Connie Chan. He joined the local entertainment industry in 2001 after earning a bachelor's degree in Economics from the University of Texas at Austin, and have since been an actor on stage and on TV.

Who is the spouse of the performer of song Ängeln I Rummet?";No information provided.;Efva Attling
" Ängeln i rummet( Swedish for The Angel in the Room) is a single released by Swedish singer Eva Dahlgren from the 1989 album Fria Världen 1.989 released through BMG and Big Mama Music. Peaking at number four in 1989, it is her highest charting song ever, tied with Vem tänder stjärnorna? in 1991. The song won a Grammis for Song of the Year. Dahlgren also performs an English version of the song called Angel in My Room. The song was covered in 2011 by Laleh, whose version reached number six in Sweden.

Where was the performer of song Égérie (Song) born?";Eva Dahlgren was born in Umeå, Sweden.;La Trinité
"Égérie  is a song by French hip hop artist Nekfeu, produced by himself and DJ Elite. It was released on April 3, 2015 as the lead single from his debut studio album Feu. It entered the French Singles Chart at number 49 on 11 April 2015, where it has since peaked.

Who is Thomas Stafford, 3Rd Earl Of Stafford's father?";Ralph Stafford;Hugh de Stafford, 2nd Earl of Stafford
"Thomas Stafford, 3rd Earl of Stafford (c. 1368–4 July 1392) was the second son—but the senior surviving heir—of Hugh Stafford, 2nd Earl of Stafford and Philippa de Beauchamp, daughter of Thomas de Beauchamp, 11th Earl of Warwick. His elder brother, his father's heir, Sir Ralph Stafford, was murdered by Richard II's half-brother, the earl of Huntingdon whilst they were campaigning in Scotland in July 1385. As a result, Thomas became heir to the earldom of Stafford, and in 1390 he was knighted. He gained livery of his estates in 1391 and paid homage to the king for them on 20 October that year. He spent his short career campaigning in France alongside the duke of Gloucester. Thomas Stafford married Anne, daughter of Thomas, Duke of Gloucester around 1390. He died on 4 July 1392 in Westminster, and was interred in Stone, with his father; his widow, Anne, with whom he had had no children, married his youngest brother Edmund Stafford, 5th Earl of Stafford.

What is the place of birth of the director of film Stopp! Tänk På Något Annat?";Sweden.;Västerås
"Stopp! Tänk på något annat is a 1944 Swedish drama film directed by Åke Ohberg.

Who is the child of the director of film Lo Que Le Pasó A Reynoso?";Esteban Ohberg.;Leopoldo Torre Nilsson
"Lo que le pasó a Reynoso is a Argentine drama film directed and written by Leopoldo Torres Ríos. The film was based on a play by Alberto Vaccarezza and premiered in Buenos Aires on February 18, 1937. It starred Floren Delbene. The film was produced by Julio Joly and the cinematography performed by Carlos Torres Ríos. Herminia Franco Teresa Serrador

Which film was released more recently, Circus Of Love or The Kiss Of Evil?";Circus Of Love.;The Kiss Of Evil
"The Kiss of the Vampire (also known as Kiss of Evil on American television) is a 1963 British vampire film made by the film studio Hammer Film Productions. The film was directed by Don Sharp and was written by producer Anthony Hinds, credited under his writing pseudonym John Elder.

Which film has the director who is older than the other, One Down, Two To Go or Andrei Svislotskiy? ";One Down, Two to Go.;One Down, Two To Go
"One Down, Two to Go is a 1982 American blaxploitation film written and directed by Fred Williamson and starring Fred Williamson, Jim Brown, Richard Roundtree and Jim Kelly.

Who is the maternal grandfather of Adam Coleman Howard?";Fred Williamson;Jules Lederer
"Adam Coleman Howard is an American actor, screenwriter and film director. He is the son of advice columnist Margo Howard, the grandson of advice columnist Ann Landers and the stepson of actor Ken Howard.

Which film has the director born later, Under The Lantern or Darling Of The Gods?";"""Darling Of The Gods""";Under The Lantern
"Darlings of the Gods is a 1989 Australian mini series about the 1948 trip to Australia by Laurence Olivier and Vivien Leigh and the Old Vic Company, where Olivier and Leigh met Peter Finch.

Which film has the director who was born first, Slim Carter or Thendral Veesum?";Slim Carter;Thendral Veesum
"Thendral Veesum is a 1962 Indian Tamil language film produced and directed by B. S. Ranga. The film featured Kalyan Kumar, M. R. Radha, Krishna Kumari and Rajasree in the lead roles.

Which film has the director who died first, A Dream Or Two Ago or Why Leave Home??";A Dream Or Two Ago.;A Dream Or Two Ago
"Why Leave Home? is a 1929 American comedy film directed by Raymond Cannon and written by Robert Spencer Carr and Walter Catlett. The film stars Sue Carol, Nick Stuart, Dixie Lee, Ilka Chase, Walter Catlett, and Gordon De Main. The film was released on August 25, 1929, by Fox Film Corporation. It is a remake of Cradle Snatchers( 1927).  Why Leave Home? was later remade in 1943 as Let's Face It with Bob Hope.

Where did the director of film Vestire Gli Ignudi die?";Italy.;Paris
"Vestire gli ignudi is a 1953 Italian drama film directed by Marcello Pagliero and starring Gabriele Ferzetti. It is based on the play Vestire gli ignudiClothing the Naked) by Luigi Pirandello.

Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?";John Jaffer Janardhanan;Kamakalawa
"John Jaffer Janardhanan is a 1982 Malayalam movie directed by I. V. Sasi, written by T. Damodaran, starring Ratheesh, Ravindran and Mammootty. It is a remake of the 1977 Hindi movie Amar Akbar Anthony.

Which film has the director died earlier, The Story Of Anastasia or A Mother Of Men?";The Story Of Anastasia.;A Mother Of Men
"A Mother of Men is a 1914 American silent film produced by Sid Films and distributed by Warner's Features. It was directed by Sidney Olcott with Valentine Grant and Arthur Donaldson in the leading roles.

Which film was released more recently, Occupation: Dreamland or Ganga Bhavani?";Ganga Bhavani.;Occupation: Dreamland
"Occupation: Dreamland is a grunt's- eye view, 2005 documentary film focused on a company of the 1/505 of the 82nd Airborne Division in Fallujah, Iraq, in early 2004. It is directed by Ian Olds and Garrett Scott. The title comes from the nickname of the base, Camp Volturno, on the outskirts of Fallujah. The American soldiers housed there called the place Camp Dreamland. The film includes interviews with US soldiers, footage of their patrols in Fallujah, as well as interviews with Iraqi civilians. Garrett Scott died of a heart attack at age 37 in 2005, days before Occupation won the Independent Spirit Award. Ian Olds has written and directed several short fiction films and a documentary about journalists in Afghanistan.

Who is Frederick Of Luxembourg's paternal grandfather?";Felix of Bourbon-Parma;Wigeric of Lotharingia
"Frederick of Luxembourg (965 – 6 October 1019), Count of Moselgau, was a son of Siegfried of Luxembourg and Hedwig of Nordgau.

Who is the father of the director of film Mirage (1972 Film)?";Luis Buñuel.;Daniel Alomía Robles
"The Mirage is a lost 1924 silent film comedy directed by George Archainbaud and starring Florence Vidor.

Where did Claudio Silva (Computer Scientist)'s wife graduate from?";Stanford University.;Stony Brook University
"Claudio Silva is a Brazilian American computer scientist and data scientist. He is a professor of computer science and engineering at the New York University Tandon School of Engineering, the head of disciplines at the NYU Center for Urban Science and Progress (CUSP) and affiliate faculty member at NYU's Courant Institute of Mathematical Sciences. He co-developed the open-source data-exploration system VisTrails with his wife Juliana Freire and many other collaborators. He currently serves as chair of the executive committee for the IEEE Computer Society Technical Committee on Visualization and Graphics.

Which film has the director born first, Spione or Five Million Look For An Heir?";Spione;Five Million Look For An Heir
"Five Million Look for an Heir is a 1938 German comedy film directed by Carl Boese and starring Heinz Rühmann, Leny Marenbach and Vera von Langen. It was based on a novel by Harald Baumgarten.

Which film was released earlier, Man'S Search For Happiness or Tell It To The Bees?";Man'S Search For Happiness.;Man'S Search For Happiness
"Man's Search for Happiness is a 13- minute film produced by The Church of Jesus Christ of Latter- day Saints( LDS Church). It explains the role of the Plan of Salvation in LDS theology, with questions like Who am I? Where did I come from?, and Where am I going? being explored from an LDS perspective. This film was produced by the BYU Motion Picture Studio for the Mormon Pavilion at the 1964 World's Fair in New York City, and was viewed by over five million people, many of whom were not LDS. It was later remade in Japanese for Expo'70 in Japan. In 1986, the visuals and background music were updated, while retaining the original narration by Richard L. Evans, who served as a member of the church's of the Quorum of the Twelve Apostles.

Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?";La Mazurka Del Barone Della Santa E Del Fico Fiorone;La Mazurka Del Barone, Della Santa E Del Fico Fiorone
"La sceriffa (The Sheriff) is a 1959 Italian Western comedy in black-and-white, directed by Roberto Bianchi Montero. It stars Italian comedy star Ugo Tognazzi. It is considered one of the earliest Spaghetti Western films. It was released on 16 August 1959. The film starred several comedians and spawned a number of western comedies which followed.

Who lived longer, Antonio Caggiano or Hardyal Singh?";Antonio Caggiano.;Antonio Caggiano
"Bhai Nand Lal Goya( Persian:, Punjabi:   )( 1633 – 1713), also known as Bhai Nand Lal Singh Ji, was a 17th- century Sikh poet in the Punjab region. He was one of the fifty- two poets of Guru Gobind Singh's Darbar( court). He was born in Ghazni in Afghanistan to father Chhajju Mal who was a famous Persian scholar himself. Bhai Sahib lived in Multan and later became a courtier in Darbar of Guru Gobind Singh; the tenth Sikh Guru.

What is the place of birth of the director of film A Woman'S Face (1938 Film)?";Sweden.;Helsingfors
